annotation_id,pair_id,column_id,span_a,span_b,relation_type,relation_strength,alignment_direction,is_core_column,supports_resonance,notes,draft_confidence,needs_human_review,review_reason,reviewer_decision,reviewer_note,reviewed_relation_type,reviewed_relation_strength,reviewed_is_core_column,reviewed_supports_resonance,reviewed_status,batch,spot_review_decision,spot_review_note,spot_review_applied
F300V1-0050,2708953,C04,甚么名字,倚海龙,slot_filling,medium,A_to_B,0,1,,,,,keep,,slot_filling,medium,0,1,kept_in_gold_candidate,pilot10,,,0
F300V1-0127,2715076,C01,大鹏与他是一母所生，故此有些亲处,这般比论,coreference_or_demonstrative,medium,A_to_B,1,1,B中的“这般比论”回指A中关于亲属关系的整段推理论证。,,,,keep,,coreference_or_demonstrative,medium,1,1,kept_in_gold_candidate,pilot10,keep,accepted in targeted spot review,1
F300V1-0127,2715076,C02,大鹏与他是一母所生,妖精的外甥,analogy,strong,A_to_B,1,1,B沿用A的亲属推理逻辑，将“大鹏与孔雀同母”讽刺性延展为“如来是妖精外甥”。,,,,keep,,analogy,strong,1,1,kept_in_gold_candidate,pilot10,keep,accepted in targeted spot review,1
F300V1-0127,2715076,C03,佛母,外甥,analogy,strong,A_to_B,1,1,A中“佛母”建立宗教亲属关系，B以“外甥”改写并延展这一亲属关系。,,,,keep,,analogy,strong,1,1,kept_in_gold_candidate,pilot10,keep,accepted in targeted spot review,1
F300V1-0127,2715076,C04,大鹏,妖精,semantic_substitution,medium,A_to_B,1,1,B将A叙述中的“大鹏”贬称为“妖精”，形成评价性替换。,,,,keep,,semantic_substitution,medium,0,1,kept_in_gold_candidate,pilot10,revise,大鹏→妖精是评价性重命名，可作为辅助 semantic_substitution 支撑亲属类比链，但不应承担主链；主链由 C02/C03/C05 承担。,1
F300V1-0127,2715076,C05,故此有些亲处,你还是妖精的外甥哩,semantic_substitution,strong,A_to_B,1,1,B把A的“有些亲处”具体化并讽刺化为“外甥”关系。,,,,keep,,semantic_substitution,strong,1,1,kept_in_gold_candidate,pilot10,keep,accepted in targeted spot review,1
F300V1-0127,2715076,C06,佛母,你还是妖精的外甥哩,analogy,medium,A_to_B,0,1,A中的“佛母”亲属定位被B讽刺性改写为“外甥”关系；此栏辅助说明类比链条，不单独作为核心纵栏。,,,,keep,该栏保留为非核心辅助链，用于说明“佛母”亲属定位如何被 B 讽刺性延展为“外甥”关系；不承担主链。,analogy,medium,0,1,kept_in_gold_candidate,pilot10,keep,accepted in targeted spot review,1
F300V1-0137,2734311,C01,哥哥你,我,coreference_or_demonstrative,strong,A_to_B,1,1,,,,,keep,,coreference_or_demonstrative,strong,1,1,kept_in_gold_candidate,pilot10,,,0
F300V1-0137,2734311,C02,贵姓,姓,lexical_reproduction,strong,mutual,1,1,,,,,keep,,lexical_reproduction,strong,1,1,kept_in_gold_candidate,pilot10,,,0
F300V1-0137,2734311,C03,贵姓,王,slot_filling,strong,A_to_B,1,1,,,,,keep,,slot_filling,strong,1,1,kept_in_gold_candidate,pilot10,,,0
F300V1-0170,2801273,C01,你,我,coreference_or_demonstrative,strong,A_to_B,1,1,A中的“你”指向B，说话权转换后在B中成为“我”。,,,,keep,,coreference_or_demonstrative,strong,1,1,kept_in_gold_candidate,pilot10,,,0
F300V1-0170,2801273,C02,喜欢,喜欢,lexical_reproduction,strong,mutual,1,1,B复现A中的“喜欢”。,,,,keep,,lexical_reproduction,strong,1,1,kept_in_gold_candidate,pilot10,,,0
F300V1-0170,2801273,C03,你喜欢的人,我喜欢你呀,slot_filling,strong,A_to_B,1,1,B将A打开的“喜欢的人”槽位补足为“你”，并改写为完整表白。,,,,keep,,slot_filling,strong,1,1,kept_in_gold_candidate,pilot10,,,0
F300V1-0170,2801273,C04,你喜欢的人,当然有喽，我喜欢你呀,short_answer,medium,A_to_B,0,1,B先以“当然有喽”回应A的名词性询问，再给出具体对象。,,,,revise,“当然有喽”是对隐含询问的短回应，但主共鸣链由“你/我”“喜欢/喜欢”“喜欢的人/喜欢你”承担，因此降为 weak auxiliary column。,short_answer,weak,0,1,revised_in_gold_candidate,pilot10,,,0
F300V1-0196,2689629,C01,刚才,刚才,lexical_reproduction,strong,mutual,1,1,B复现A中的时间锚点“刚才”。,,,,keep,,lexical_reproduction,strong,1,1,kept_in_gold_candidate,pilot10,,,0
F300V1-0196,2689629,C02,刚才,现在,contrast,strong,A_to_B,1,1,B用“刚才/现在”形成时间对比，回应A指出的前后不一致。,,,,keep,,contrast,strong,1,1,kept_in_gold_candidate,pilot10,,,0
F300V1-0196,2689629,C03,刚才还说女生,刚才是刚才，现在是现在,syntactic_parallelism,medium,A_to_B,1,1,B将A的“刚才还说”重构为“刚才是刚才，现在是现在”的对比式结构。,,,,keep,,syntactic_parallelism,medium,1,1,kept_in_gold_candidate,pilot10,,,0
F300V1-0196,2689629,C04,还说女生,世事都是会变的,semantic_substitution,medium,A_to_B,0,1,B以“世事会变”解释自己前后说法变化，是语义层面的回应。,,,,revise,“世事都是会变的”不是对“还说女生”的直接语义替换，而是解释前后变化的语用性回应。,pragmatic_function,medium,0,1,revised_in_gold_candidate,pilot10,,,0
F300V1-0211,2743169,C01,这,这样,coreference_or_demonstrative,medium,mutual,1,1,A/B都使用指示成分，B的“这样”指向A中的命题内容。,,,,revise,“这/这样”表层指示关系较泛，真正核心纵栏是 C02 中“让其中一人抛弃朋友→这样”的命题回指。,coreference_or_demonstrative,weak,0,1,revised_in_gold_candidate,pilot10,,,0
F300V1-0211,2743169,C02,让其中一人抛弃朋友,这样,coreference_or_demonstrative,strong,A_to_B,1,1,B用“这样”回指A提出的“让其中一人抛弃朋友”这一命题。,,,,keep,,coreference_or_demonstrative,strong,1,1,kept_in_gold_candidate,pilot10,,,0
F300V1-0211,2743169,C03,这意味着让其中一人抛弃朋友,是这样吗?,short_answer,medium,A_to_B,1,1,B以短问句请求确认A的命题判断，形成弱承接。,,,,revise,“是这样吗？”不是严格意义上的 short_answer，而是对 A 命题内容的确认请求，宜标为 pragmatic_function。,pragmatic_function,medium,1,1,revised_in_gold_candidate,pilot10,,,0
F300V1-0244,2734050,C01,善,善,lexical_reproduction,strong,mutual,1,1,,,,,keep,,lexical_reproduction,strong,1,1,kept_in_gold_candidate,pilot10,,,0
F300V1-0244,2734050,C02,信,信,lexical_reproduction,strong,mutual,1,1,,,,,keep,,lexical_reproduction,strong,1,1,kept_in_gold_candidate,pilot10,,,0
F300V1-0244,2734050,C03,善人也，信人也,何谓善？何谓信？,syntactic_parallelism,strong,A_to_B,1,1,,,,,keep,,syntactic_parallelism,strong,1,1,kept_in_gold_candidate,pilot10,,,0
F300V1-0254,2718266,C01,顾养民,他,coreference_or_demonstrative,strong,A_to_B,1,1,B中的“他”回指A中的“顾养民”。,,,,keep,,coreference_or_demonstrative,strong,0,1,kept_in_gold_candidate,pilot10,revise,顾养民→他是必要的指称辅助，但删去后主行动/修正链仍可由 C02/C03 支撑，因此降为 auxiliary。,1
F300V1-0254,2718266,C02,捶一捶,打了他,semantic_substitution,strong,A_to_B,1,1,B将A的“捶一捶”改写为“打了他”，语义上指向同一暴力行动。,,,,keep,,semantic_substitution,strong,1,1,kept_in_gold_candidate,pilot10,keep,accepted in targeted spot review,1
F300V1-0254,2718266,C03,我想把顾养民捶一捶,你不要动手,repair,strong,A_to_B,1,1,B直接制止A提出的行动方案，形成修正性映射。,,,,keep,,repair,strong,1,1,kept_in_gold_candidate,pilot10,keep,accepted in targeted spot review,1
F300V1-0254,2718266,C04,我,你,coreference_or_demonstrative,strong,A_to_B,1,1,A中的自称“我”在B中被转化为被劝阻对象“你”。,,,,keep,,coreference_or_demonstrative,strong,0,1,kept_in_gold_candidate,pilot10,revise,我→你是说话权转换造成的指称辅助，不应与行动修正主链同等作为 core。,1
F300V1-0254,2718266,C05,我想把顾养民捶一捶,由我出面,contrast,medium,A_to_B,1,1,B用“由我出面”替代A亲自动手的方案，形成行动主体和处理方式的对比。,,,,keep,,contrast,medium,0,1,kept_in_gold_candidate,pilot10,revise,我想捶→由我出面说明行动主体和处理方式转移，可作为辅助 contrast；主链已由 C02 暴力行动改写和 C03 制止修正承担。,1
F300V1-0024,2712070,C01,毒敌山琵琶洞,那山洞,coreference_or_demonstrative,strong,A_to_B,1,1,B用“那山洞”回指A中已经给出的具体洞府地点。,high,0,,keep,accepted in easy_medium21 review,coreference_or_demonstrative,strong,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0024,2712070,C02,在西梁国毒敌山琵琶洞。,那山洞有甚妖怪,pragmatic_function,medium,A_to_B,0,1,B围绕A提供的地点继续追问该地所涉对象，承接的是地点话题而非单纯复述。,medium,1,地点承接是否宜单列为column需要人工把关，避免把普通话题延续标得过宽。,delete,地点承接过宽，容易把普通话题延续标成 column；C01“毒敌山琵琶洞→那山洞”已足够支撑主链。,pragmatic_function,medium,0,1,excluded_from_gold_candidate,easy_medium21,,,0
F300V1-0209,2734257,C01,五美,五美,lexical_reproduction,strong,mutual,1,1,B直接复现A中的核心概念“五美”。,high,0,,keep,accepted in easy_medium21 review,lexical_reproduction,strong,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0209,2734257,C02,尊五美,何谓五美？,pragmatic_function,medium,A_to_B,1,1,B把A中提出的概念转成解释请求，属于确认并追问概念内涵的语用性承接。,medium,0,,keep,accepted in easy_medium21 review,pragmatic_function,medium,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0010,2773838,C01,msf,msf,lexical_reproduction,strong,mutual,1,1,两轮都围绕“msf”这一对象展开。,high,0,,keep,accepted in easy_medium21 review,lexical_reproduction,strong,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0010,2773838,C02,加入msf,申请msf,semantic_substitution,medium,A_to_B,1,1,B把A中的加入意图改写为更具体的申请行动。,medium,1,“加入”与“申请”更像行动改写，需人工确认是否应降为pragmatic_function。,keep,accepted in easy_medium21 review,semantic_substitution,medium,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0010,2773838,C03,决心加入msf的进,可以申请msf吗,pragmatic_function,medium,A_to_B,0,1,B把A的加入主题转成资格与可行性追问。,low,1,A是标题式残句，是否整句入栏及其功能分类都需人工复核。,delete,A 是标题式残句，整句入栏过宽；C01“msf→msf”和 C02“加入msf→申请msf”已足够。,pragmatic_function,medium,0,1,excluded_from_gold_candidate,easy_medium21,,,0
F300V1-0185,2734249,C01,是,是,lexical_reproduction,strong,mutual,1,1,B复现A中的肯定成分“是”。,high,0,,keep,accepted in easy_medium21 review,lexical_reproduction,strong,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0185,2734249,C02,是也,是知津矣,syntactic_parallelism,medium,A_to_B,1,1,B沿着肯定式结构推进A的判断。,medium,0,,keep,accepted in easy_medium21 review,syntactic_parallelism,medium,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0185,2734249,C03,是也,知津矣,semantic_substitution,weak,A_to_B,0,1,B把A的简单肯定扩展为对人物状态的解释性判断。,low,1,“知津”是否应视为明确替换位仍需人工确认，避免过度解释。,delete,“是也→知津矣”解释性较强，明确替换位不足，容易过度解释；C01/C02 已足够支撑。,semantic_substitution,weak,0,1,excluded_from_gold_candidate,easy_medium21,,,0
F300V1-0271,2754026,C01,私人飞机,私人飞机,lexical_reproduction,strong,mutual,1,1,B复现A中的核心对象“私人飞机”。,high,0,,keep,accepted in easy_medium21 review,lexical_reproduction,strong,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0271,2754026,C02,私人飞机呢？,也会派私人飞机接,pragmatic_function,medium,A_to_B,1,1,B把A的追问改写成带条件的回应方案。,medium,0,,keep,accepted in easy_medium21 review,pragmatic_function,medium,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0271,2754026,C03,我魔,我抬,contrast,weak,A_to_B,0,1,A/B分别以内群体称呼定位不同球队立场。,low,1,论坛昵称高度依赖语境，需人工确认是否真的构成稳定对照位。,revise,“我魔/我抬”不宜标为 contrast；更像论坛语境中的球队昵称/立场称呼替换，且只能作为弱辅助栏。,semantic_substitution,weak,0,1,revised_in_gold_candidate,easy_medium21,,,0
F300V1-0002,2734081,C01,为政,为政,lexical_reproduction,strong,mutual,1,1,B多次复现A中的核心概念“为政”。,high,0,,keep,accepted in easy_medium21 review,lexical_reproduction,strong,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0002,2734081,C02,不为政,是亦为政,repair,strong,A_to_B,1,1,B纠正A中“子不为政”的预设，明确提出“这也是为政”。,high,0,,keep,accepted in easy_medium21 review,repair,strong,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0002,2734081,C03,子奚不为政？,奚其为为政！,syntactic_parallelism,medium,A_to_B,0,1,B沿用“奚/为政”的设问框架，但把设问方向反转。,medium,1,设问反转兼具平行和反驳性质，relation_type 主次需要人工定口径。,keep,accepted in easy_medium21 review,syntactic_parallelism,medium,0,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0002,2734081,C04,不为政,奚其为为政！,contrast,medium,A_to_B,0,1,B把A的否定性设问改写成强调式追问，形成反向对照。,medium,1,此栏可能与C02/C03重叠，需人工判断是否保留以免过度标注。,delete,与 C02/C03 高度重叠，保留会增加过度标注风险。,contrast,medium,0,1,excluded_from_gold_candidate,easy_medium21,,,0
F300V1-0055,2717672,C01,和晓霞一个班,和晓霞不一个班,repair,strong,A_to_B,1,1,B直接修正A关于班级关系的判断。,high,0,,keep,accepted in easy_medium21 review,repair,strong,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0055,2717672,C02,和晓霞一个班,和润生是一个班,contrast,strong,A_to_B,1,1,B把同一“一个班”关系转移到新的同班对象上。,high,0,,keep,accepted in easy_medium21 review,contrast,strong,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0055,2717672,C03,一个班,一个班,lexical_reproduction,strong,mutual,1,1,A/B共享“一个班”的关系框架。,high,0,,keep,accepted in easy_medium21 review,lexical_reproduction,strong,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0055,2717672,C04,晓霞,润生,contrast,medium,A_to_B,0,1,B用新的人物替换A预设的同班对象。,medium,0,,keep,accepted in easy_medium21 review,contrast,medium,0,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0187,2678585,C01,倒了它,倒了它,lexical_reproduction,strong,mutual,1,1,B最终回到A提出的原动作。,high,0,,keep,accepted in easy_medium21 review,lexical_reproduction,strong,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0187,2678585,C02,倒了它？,你还是倒了它,repair,strong,A_to_B,1,1,B在犹豫后重新确认A提出的动作方案。,high,0,,keep,accepted in easy_medium21 review,repair,strong,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0187,2678585,C03,倒了它,先把它放在那儿,repair,medium,A_to_B,0,1,B先提出暂放方案，随后又改回执行A动作；该栏记录中间修正路径。,medium,1,B内部先改后回的修正链是否需要单列辅助栏，需人工确认。,keep,accepted in easy_medium21 review,repair,medium,0,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0265,2736207,C01,哭,哭,lexical_reproduction,strong,mutual,1,1,A/B都把“哭”作为焦点动作。,high,0,,keep,accepted in easy_medium21 review,lexical_reproduction,strong,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0265,2736207,C02,哭吊喭毕,君何为哭？,repair,strong,A_to_B,1,1,B对A的哭吊行为提出礼法性纠偏。,high,0,,keep,accepted in easy_medium21 review,repair,strong,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0265,2736207,C03,哭吊喭毕,阮既不哭,contrast,medium,A_to_B,0,1,B以“阮既不哭”引入规范参照，对A的做法形成对照。,medium,1,礼法说明与核心修正规则之间的主次需要人工复核。,keep,accepted in easy_medium21 review,contrast,medium,0,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0290,2723647,C01,宫嫔,宫嫔,lexical_reproduction,strong,mutual,1,1,B复现A中的场景对象“宫嫔”。,high,0,,keep,accepted in easy_medium21 review,lexical_reproduction,strong,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0290,2723647,C02,无双在焉,岂便及无双,contrast,strong,A_to_B,1,1,A担忧“无双在焉”，B则明确否定其轻易可及。,high,0,,keep,accepted in easy_medium21 review,contrast,strong,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0290,2723647,C03,汝为我一窥，可乎？,宫嫔数千，岂便及无双。,pragmatic_function,medium,A_to_B,0,1,B没有直接执行“窥”，而是先对A的推测与请求作反驳式回应。,medium,1,整句语用回应是否单列为辅助栏，需要人工把关。,keep,accepted in easy_medium21 review,pragmatic_function,medium,0,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0290,2723647,C04,无双,无双,lexical_reproduction,strong,mutual,0,1,B复现A关注的核心人物“无双”。,high,0,,keep,accepted in easy_medium21 review,lexical_reproduction,strong,0,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0299,2689524,C01,死在家里,死在哥哥家里,syntactic_parallelism,strong,A_to_B,1,1,B延续“死在X里”的论证框架，只替换家庭关系位置。,high,0,,keep,accepted in easy_medium21 review,syntactic_parallelism,strong,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0299,2689524,C02,太太的好心弄坏了,害了哥哥,analogy,strong,A_to_B,1,1,B沿用A的“会连累照拂者”的关系结构，替换受害对象并反向劝说。,medium,1,此栏属于结构类比主链，需人工确认是否保留为analogy而非普通contrast。,keep,类比主链成立；B 沿用 A 的“死亡会连累照拂者”关系结构，将受害对象从太太转为哥哥。,analogy,strong,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0299,2689524,C03,我该死在家里才是。,若是死在哥哥家里，岂不又害了哥哥呢。,analogy,strong,A_to_B,1,1,B把A的整句论证结构迁移到“哥哥家里”的新位置上。,medium,1,整句类比链较强，但也最容易和并行改写混淆，需人工复核。,keep,整句类比链可以保留为 core；它体现 A 的论证结构被 B 迁移到“哥哥家里”的新情境。,analogy,strong,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0299,2689524,C04,死在这里,死在哥哥家里,contrast,medium,A_to_B,0,1,B把A的地点论证转移到新的家庭关系上，形成场所对照。,medium,1,地点对照与类比链存在重叠，需人工判断是否辅助保留。,keep,地点对照与类比链有重叠，但作为 auxiliary contrast 可保留，不承担主链。,contrast,medium,0,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0298,2693772,C01,撬动,撬动,lexical_reproduction,strong,mutual,1,1,B复现A中的关键行动词“撬动”。,high,0,,keep,accepted in easy_medium21 review,lexical_reproduction,strong,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0298,2693772,C02,国际文化产业资源,“一带一路”国家,semantic_substitution,medium,A_to_B,1,1,B把A中的资源来源具体化为可参与的国家主体。,medium,1,“资源”与“国家主体”的替换位可能被质疑过宽，需人工确认。,keep,accepted in easy_medium21 review,semantic_substitution,medium,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0298,2693772,C03,实现合作共荣地可持续发展,参与“一带一路”建设,pragmatic_function,medium,A_to_B,1,1,B给出实现合作发展的操作路径，属于回答“如何实现”的语用性回应。,medium,0,,keep,accepted in easy_medium21 review,pragmatic_function,medium,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0287,2696063,C01,北约,北约,lexical_reproduction,strong,mutual,1,1,A/B都以“北约”为核心评论对象。,high,0,,keep,accepted in easy_medium21 review,lexical_reproduction,strong,1,1,kept_in_gold_candidate,easy_medium21,keep,accepted in targeted spot review,1
F300V1-0287,2696063,C02,与俄罗斯发生更广泛的冲突,与俄冲突,lexical_reproduction,strong,A_to_B,1,1,B压缩复现A中的冲突前提。,high,0,,keep,accepted in easy_medium21 review,lexical_reproduction,strong,1,1,kept_in_gold_candidate,easy_medium21,keep,accepted in targeted spot review,1
F300V1-0287,2696063,C03,中国在欧洲拥有的基础设施项目,中欧合作,semantic_substitution,medium,A_to_B,1,1,B把A中的具体基础设施项目概括为更宽的中欧合作议题。,medium,1,概括层级较高，需人工确认是否属于明确替换位。,revise,“中国在欧洲拥有的基础设施项目→中欧合作”可以保留为概括性替换，但跨度较大，不宜作为 core column。,semantic_substitution,medium,0,1,revised_in_gold_candidate,easy_medium21,keep,accepted in targeted spot review,1
F300V1-0287,2696063,C04,中方对此有何评论？,毫无道理，各方应坚决抵制。,pragmatic_function,medium,A_to_B,0,1,B给出明确的评论性结论。,medium,0,,keep,accepted in easy_medium21 review,pragmatic_function,medium,0,1,kept_in_gold_candidate,easy_medium21,keep,accepted in targeted spot review,1
F300V1-0287,2696063,C05,将收回一些中国在欧洲拥有的基础设施项目,干扰破坏中欧合作,semantic_substitution,medium,A_to_B,0,1,B把A中的项目收回风险改写为干扰破坏合作的行为后果。,medium,1,语义改写跨度较大，需人工确认是否过度抽象。,keep,可保留为 auxiliary semantic_substitution，用于说明“收回项目”被 B 改写为“干扰破坏合作”的行为后果。,semantic_substitution,medium,0,1,kept_in_gold_candidate,easy_medium21,keep,accepted in targeted spot review,1
F300V1-0300,2733984,C01,为善,为善,lexical_reproduction,strong,mutual,1,1,A/B共享“为善”这一核心判断位。,high,0,,keep,accepted in easy_medium21 review,lexical_reproduction,strong,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0300,2733984,C02,为不善,为不善，非才之罪也,repair,strong,A_to_B,1,1,B承接A提出的“为不善”可能性，并给出修正式解释。,high,0,,keep,accepted in easy_medium21 review,repair,strong,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0300,2733984,C03,今曰‘性善’，然则彼皆非与？,乃若其情，则可以为善矣，乃所谓善也。,pragmatic_function,strong,A_to_B,1,1,B正面回应A对“性善”命题的质疑。,medium,1,整句回应跨度较大，需人工确认核心边界是否应更细分。,keep,虽然跨度较大，但该栏是 B 对 A 关于“性善”质疑的核心回应，可保留为 core pragmatic_function。,pragmatic_function,strong,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0300,2733984,C04,性善,善也,semantic_substitution,medium,A_to_B,0,1,B把A中的命题焦点收束为“乃所谓善也”的定义性改写。,medium,1,概念层面的收束是否宜视作semantic_substitution，需人工确认。,keep,“性善→善也”可保留为 auxiliary semantic_substitution，不承担主链。,semantic_substitution,medium,0,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0300,2733984,C05,彼皆非与？,非才之罪也,repair,medium,A_to_B,0,1,B对A的质疑路径作局部修正，转而解释“不善”之来源。,medium,1,此栏可能与C02/C03存在解释链重叠，需人工确认是否保留。,delete,与 C02/C03 的解释链重叠，作为独立 column 的必要性不足。,repair,medium,0,1,excluded_from_gold_candidate,easy_medium21,,,0
F300V1-0204,2694237,C01,两岸交流,两岸交流合作,lexical_reproduction,strong,A_to_B,1,1,B延续A中的“两岸交流”议题，并扩展为合作表述。,high,0,,keep,accepted in easy_medium21 review,lexical_reproduction,strong,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0204,2694237,C02,对台新举措,十项促进两岸交流合作的政策措施,semantic_substitution,strong,A_to_B,1,1,B把A中的笼统“新举措”具体化为政策措施。,medium,1,虽然替换位较清楚，但政治问答中概括层级需人工复核。,keep,“对台新举措→十项促进两岸交流合作的政策措施”替换位较清楚，可保留为 core semantic_substitution。,semantic_substitution,strong,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0204,2694237,C03,“介选”行为,攻击、污蔑、反对,contrast,medium,A_to_B,0,1,B把A中的指控性标签反向改写为对民进党当局行为的批评。,medium,1,该栏既可看作语义反驳，也可看作评价转移，需人工定型。,keep,可保留为 auxiliary contrast；它体现 A 的“介选”指控被 B 反向评价为“攻击、污蔑、反对”。,contrast,medium,0,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0204,2694237,C04,请问对此有何评论？,这再次充分暴露了民进党当局图谋“台独”的真实面目,pragmatic_function,medium,A_to_B,1,1,B给出正式评论性结论，承接A的问政式提问。,medium,0,,keep,accepted in easy_medium21 review,pragmatic_function,medium,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0204,2694237,C05,台湾当局主导,民进党当局顽固坚持“台独”分裂立场,contrast,medium,A_to_B,0,1,B没有沿用A的“当局主导”框架，而是转向政治立场批评。,medium,1,该栏更像评论立场转向，是否保留需人工权衡过度标注风险。,delete,该栏更像评论立场转向，跨度过宽，容易退化为普通话题相关或政治立场相关。,contrast,medium,0,1,excluded_from_gold_candidate,easy_medium21,,,0
F300V1-0052,2735205,C01,怎麽写,金”傍做“昔”字便是,slot_filling,strong,A_to_B,1,1,B直接回答A关于写法的提问。,high,0,,keep,accepted in easy_medium21 review,slot_filling,strong,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0052,2735205,C02,错”字,金”傍做“昔”字,slot_filling,strong,A_to_B,1,1,B用构字说明具体填补“错”字的写法槽位。,high,0,,keep,accepted in easy_medium21 review,slot_filling,strong,1,1,kept_in_gold_candidate,easy_medium21,,,0
F300V1-0052,2735205,C03,字,字,lexical_reproduction,medium,mutual,0,1,A/B都围绕“字”的书写问题。,high,0,,keep,accepted in easy_medium21 review,lexical_reproduction,medium,0,1,kept_in_gold_candidate,easy_medium21,,,0
