annotation_id,pair_id,normalized_pair_hash,conversation_group_key,source,category,dataset_name,speaker_a,turn_a,speaker_b,turn_b,stress_profile,resonance_present,label_reproduction,label_parallelism,label_selective_reuse,label_repair,label_contrast,label_analogy_candidate,evidence_span_a,evidence_span_b,annotator_note,uncertainty_reason,ai_model,ai_prompt_version,ai_run_id,ai_confidence,ai_review_status
NAS1-0025,2753275,df676bd4ae914a911b6bf8bc7b32991ce712a17a07c91f4495fc66ae26fc061d,贴吧回帖::entry:219,网络回帖,贴吧回帖,贴吧回帖,上文,这种饼 也只有奉先能吃 不然又闷平,回帖,交出签名车牌号,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0026,2753306,3c463f1fbf3c2a6fba798b12ab4334bd90c209d2a92a806a4a9d66d70511e428,tieba-305w::entry:21927,网络回帖,贴吧回帖,tieba-305w,上帖,布林德真是一个难以取舍的点。。,回帖,科克 、维拉蒂，你选一个,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0027,2753387,5e41ecafac662f0934504ded46081942cfbbb9e3d90a542d5826a38daf159fee,贴吧回帖::entry:220,网络回帖,贴吧回帖,贴吧回帖,上文,交出签名车牌号,回帖,JUC-635,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0028,2753498,27178cb28921e8079345a23dabe7e35c69b3c43f75c66c583b4def42ac15d796,贴吧回帖::entry:221,网络回帖,贴吧回帖,贴吧回帖,上文,JUC-635,回帖,0 3,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0029,2753609,b62986f4b45f8e54f69988f23bc8ea067627c27ac8fc1eba58d7fca60dcd9fdb,贴吧回帖::entry:222,网络回帖,贴吧回帖,贴吧回帖,上文,已经是故人了,回帖,啥叫故人，我还是当他是自家孩子,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0030,2753652,19eaf87eb1ef2cc5ba5a99bfd59c66b5aa2b3b5caba90813888e3969da1b811e,tieba-305w::entry:22238,网络回帖,贴吧回帖,tieba-305w,上帖,堪称上帝的男人,回帖,下赛季英冠200球，都跳级超越英超世纪记录,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0031,2753720,4cc9d21e5356e486b4e78eccb3de6073ef1d9a09c74dd3af58e5bcf316c6d47d,贴吧回帖::entry:223,网络回帖,贴吧回帖,贴吧回帖,上文,啥叫故人，我还是当他是自家孩子,回帖,你觉得有可能回来吗,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0032,2753831,9cb8557620a95e77953ad82d81566107aa485ae6990a9ecead2992e246811c53,tieba-305w::entry:22399,网络回帖,贴吧回帖,tieba-305w,上帖,《机密报》说现在可以确认皇马和马竞会在两个转会窗被禁止引援！,回帖,格子很难,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0033,2753969,5a3e03d003554cc51083c2a84bd4deb4d17efa0d029dd472b87fdf7955c34f8d,tieba-305w::entry:22522,网络回帖,贴吧回帖,tieba-305w,上帖,再高五公分也好啊。,回帖,那他就很有可能当世前五了,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0034,2753987,ebd11f0ea0aabbeac1e59715be5e15c05473913981062aae98d2efb53e4f6f95,tieba-305w::entry:22539,网络回帖,贴吧回帖,tieba-305w,上帖,德比战输球后，瓜迪奥拉派助教通知鸟叔他拒绝邀请,回帖,你是在黑乔布斯吗,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0035,2754249,66b194213cd7476d78cb5d7d90ff72a8d1f7a28527b105fb077f39a979f14bd1,tieba-305w::entry:22775,网络回帖,贴吧回帖,tieba-305w,上帖,你这种天天出来喷自家孩子的真是恶心。刚复出第一场踢的不是很好就这么喷。,回帖,自家孩子多了去了，黑贝聪明利要不要都接回来？,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0036,2754798,f3ceca8284b1ff338b51ae0019e2e7e2dabf951c2f81a21e488540c848d6b5f4,tieba-305w::entry:23268,网络回帖,贴吧回帖,tieba-305w,上帖,大海啊，全是水！骏马呀。四条腿！,回帖,马文豪,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0037,2756024,ad9167593eaa2fab3e370e594c90f5bdbf74fcf3adf7c1657641acf0562cb523,贴吧回帖::entry:236,网络回帖,贴吧回帖,贴吧回帖,上文,台湾跟老美走得近不一样，朝鲜跟苏联走得近，完全不同样的氛围,回帖,我也觉得为什么不参考台湾，同样在苏联的留学经历,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0038,2756911,b02931f85ba70b8082fc2c7b06a0bd1fb57de349ad9e23010bef8d50198b164c,贴吧回帖::entry:238,网络回帖,贴吧回帖,贴吧回帖,上文,看到温格本质,回帖,是啊，周的势力不大的话，也不用文革这种大招了,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0039,2757425,4ee8170a091f5c38b1e61be39f6851930e7a00944c23e5b9a184cfd7ae07166c,贴吧回帖::entry:239,网络回帖,贴吧回帖,贴吧回帖,上文,是啊，周的势力不大的话，也不用文革这种大招了,回帖,周就是毛的一条狗，还周派,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0040,2757815,6e90c1fedd42491db5fcd5713abe20e3ce7f7131c45b3311caffe61386d67055,贴吧回帖::entry:240,网络回帖,贴吧回帖,贴吧回帖,上文,周就是毛的一条狗，还周派,回帖,瞎扯淡，连海棠依旧这种纯洗白片，都可以看出毛周斗法的影子,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0041,2759234,6b4a6bf5701da69798d3936f78746a50acb12e2e0544e1f08521fa526f1a4168,贴吧回帖::entry:242,网络回帖,贴吧回帖,贴吧回帖,上文,一身冷汗,回帖,就你们毛粉看得出，我们还真是看不出,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0042,2763701,1e3aff9fa362283d159e42cdb679025dc1d0f95da180bd0e5937a999a8dc871e,贴吧回帖::entry:249,网络回帖,贴吧回帖,贴吧回帖,上文,笑死，你有证据吗?血口喷人有意思吗?,回帖,连这种传言都信的人，也配出来论？那个纯粹是民间无知愚昧人士根据封建那一套想象出来的但是安营如果活着，确实可能性不小,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0043,2764208,79432f009230a9b8f7dc34cf62a7c91194537239aa9fac1677542fc0f4b6df32,贴吧回帖::entry:250,网络回帖,贴吧回帖,贴吧回帖,上文,连这种传言都信的人，也配出来论？那个纯粹是民间无知愚昧人士根据封建那一套想象出来的但是安营如果活着，确实可能性不小,回帖,哦 毛远新呢,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0044,2764813,1cd825b6fdbc50a8f9f05c7bb404abb38d497b107c822baa53de1cc5f522d2cc,贴吧回帖::entry:251,网络回帖,贴吧回帖,贴吧回帖,上文,哦 毛远新呢,回帖,让毛远新打它脸,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0045,2765802,dc9ddbead872805b371243290599da4254d5fc2db877982408108203dd8dc489,贴吧回帖::entry:253,网络回帖,贴吧回帖,贴吧回帖,上文,笑死，毛远新最高职位也只是个政委，连政治菊都没进,回帖,毛魔病重时，毛远新说的话就是毛的话，还要怎么样,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0046,2768963,08233d009f7edd93ddeff04b13676b4425187ecd6b0a68b975d77237a7df938c,贴吧回帖::entry:261,网络回帖,贴吧回帖,贴吧回帖,上文,笑死，在美帝无差别轰炸下，还分前线后方？东京是前线吗？那死伤的几十万人都在前线？,回帖,现代战场你以为还是和古代一样只要躲在后面就可以安全了？在完全没有制空权的战场后方又比前方安全多少呢，而且司令部那是敌人斩首首要目标好不，要安你这么说在司令部安全，那么安营怎么会死了呢,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0047,2769360,fb07810e0527411e0e3f5100eb11857a10bf1ce1560c51041cb99dc63a73d779,贴吧回帖::entry:262,网络回帖,贴吧回帖,贴吧回帖,上文,现代战场你以为还是和古代一样只要躲在后面就可以安全了？在完全没有制空权的战场后方又比前方安全多少呢，而且司令部那是敌人斩首首要目标好不，要安你这么说在司令部安全，那么安营怎么会死了呢,回帖,你要是敌人，你会专挑司令部炸,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0048,2770524,168b28484c8d5289846fbf132a8925d83e454a6c725c850ca827988bb8d7bd2a,贴吧回帖::entry:265,网络回帖,贴吧回帖,贴吧回帖,上文,那是因为毛魔鬼死后它做不了主，因为中国天亮了,回帖,司令部很隐蔽？你当美帝无线电追踪是吃干饭的？,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0049,2770925,c8bdc161816faeb1a0e0da9f2084738327905930b4f710e996e9cd9a067b71b2,贴吧回帖::entry:266,网络回帖,贴吧回帖,贴吧回帖,上文,反之看看老美的所谓的选举，看似多人，结果就是三个代表，到最后就强制在两个里选一个，无论其是什么样的，最可笑的是老公做完，老婆上。,回帖,这算高级黑吗,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0050,2772452,d6e6454401260f7f075973e63ae69e0a83802c48d1fab24f9b028f671ea7ba16,贴吧回帖::entry:270,网络回帖,贴吧回帖,贴吧回帖,上文,那现在大陆怎么还让香港人这样选啊，明知道指定选两三个不民主,回帖,拉倒吧，一人一票的话鹿晗 吴亦凡之类保底也是肠胃。,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0051,2773669,3cb56d7b241b6136902f70c2d6d128355cecbacb05b162100caa32b6a14011d1,贴吧回帖::entry:273,网络回帖,贴吧回帖,贴吧回帖,上文,当然可能，熟读二十四史的太祖，骨子里还是家天下的。归根到底还是二皇子痴呆，大皇子无嗣，不然哪里有其他人什么事,回帖,你还是先把毛岸英和蒋经国归国后的履历对比下再来说吧，还毛骨子里是家天下，儒家诛心的那一套,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0052,2774861,f8347bd31bf6eb9fa476675a5bd446c867eedc9043e17e6898ae7b8192567cc3,贴吧回帖::entry:276,网络回帖,贴吧回帖,贴吧回帖,上文,孔蒂也很重视防守，防守时所有球员都得回来，但是一旦进攻敢于压上，孔蒂进攻也重视边路，但是不会盲目传中，中前场换位很灵活，同时可完全压制住对手，一次两次进攻失败不要紧，因为进攻不会停，只要防守引进好球员，切尔西进攻将很恐怖，毕竟孔蒂喜欢攻势足球,回帖,被娜娜 3比0 横扫,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0053,2775634,4e0dc9b4a8f7d06143ecc2b27300d8af64c3beb29930edc9b1326fb04ed62e07,贴吧回帖::entry:278,网络回帖,贴吧回帖,贴吧回帖,上文,0娜娜，何等威风,回帖,那是后卫太烂，后卫必须要买人,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0054,2776823,164e309d62702e412a63422b4071b4fbf423eb47ccd43f1f0ccbac5729b09e46,贴吧回帖::entry:281,网络回帖,贴吧回帖,贴吧回帖,上文,滚回龟吧吧,回帖,拿点干货出来,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0055,2777214,8e97afd7dd1c42cfc1d4c89e400471e3fdcde54fb63b994fe78561c5650a9bcf,贴吧回帖::entry:282,网络回帖,贴吧回帖,贴吧回帖,上文,拿点干货出来,回帖,那滚回车吧可好！忘了前2轮的情况了？,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0056,2779535,5a34a47a301962f75755c396c0191b785795ae9cb2421257ecddfd7e13db7c11,贴吧回帖::entry:288,网络回帖,贴吧回帖,贴吧回帖,上文,那是后卫的问题，冬季需要买好后卫，现在切尔西的后防不稳,回帖,提醒你，曼联对老虎射门29次射门8射正，那时候老虎城士气正旺，刚2连胜,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0057,2781483,db22e049aa2049f7af6d88e1ec83f7f0e3f5c3db22269dc5e7f8bdd5d571048a,贴吧回帖::entry:293,网络回帖,贴吧回帖,贴吧回帖,上文,一旦后防买人，切尔西进攻将更恐怖，毕竟孔蒂擅长攻势足球,回帖,我还是资辞孔蒂常驻的，反正不会威胁到冠军,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0058,2781878,290391fbd9f8d7f1890ede49388f30830cf04035683370ba05604b93b5d9c282,贴吧回帖::entry:294,网络回帖,贴吧回帖,贴吧回帖,上文,我还是资辞孔蒂常驻的，反正不会威胁到冠军,回帖,我抬六轮也进了12球而且,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0059,2782280,b9af5cd1d0eac87911127d5ab8a62be495f4dc84c03b0a0a57be4d9fc220b45d,贴吧回帖::entry:295,网络回帖,贴吧回帖,贴吧回帖,上文,我抬六轮也进了12球而且,回帖,只能说伊布太强，有他做支点，曼联的进攻还能凑活,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0060,2782674,df3287bca94d6836187477053fff31b17aecbfec4b6a846ffc59c17851364332,贴吧回帖::entry:296,网络回帖,贴吧回帖,贴吧回帖,上文,只能说伊布太强，有他做支点，曼联的进攻还能凑活,回帖,别特么吹了，不是科斯塔顶着，孔蒂上个月就下课了。车子现在缺个中场指挥官,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0061,2864218,5d7ed3165fd573906927bbd4c13aba9f7d3f168b2495d727f1558d97a7a8fbb4,tieba-305w::entry:4925,网络回帖,贴吧回帖,tieba-305w,上帖,可不管怎么说，从表现看，他最好的时候是2000年欧锦赛。,回帖,个人表现 哪点比拖地强？ 06年鲁尼屌？10年鲁尼强？ 鲁尼跟英格兰世界杯表现一直酱油 何来比拖地强一说,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0062,2897687,b23f197704453ef9471fa635e2df3951e493d6522f613632e5e18715db0a7687,tieba-305w::entry:5689,网络回帖,贴吧回帖,tieba-305w,上帖,有毒，跟你说怎么吃药，我也感冒了，鼻子难受的,回帖,早点休息吧,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0063,2899437,37c42e353c199248f1458962d86ece1708d074d110094a77613f46b7fefa43e5,tieba-305w::entry:5729,网络回帖,贴吧回帖,tieba-305w,上帖,我靠 一头成年的豹子也打不过一头成年的野猪好不？ 有些体型大的野猪老虎搞起来也费劲。 不过三头野猪我还是觉得搞不赢老虎 老虎独来独往惯了 捕猎技巧丰富 而且单杀一头无压力 野猪不会团队合作应该迟早要被老虎玩死。,回帖,老虎不是饿疯了的情况下 不会捕食野猪 因为野猪这东西疯起来就是老虎都会觉得棘手 但是三头野猪肯定干不过老虎 受点伤倒有可能,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0064,2931340,27970ff15d5b46949b0334aeded35046e25611a456b218e03df58647b99440ef,tieba-305w::entry:6453,网络回帖,贴吧回帖,tieba-305w,上帖,这个牛,回帖,的确,async_network_reply,,,,,,,,,,,,,,,,
NAS1-0065,2939417,faaa75b08b60e12898ebf297bf0a7c2e368bcb0c981c925376ec3135ca640c4e,tieba-305w::entry:6637,网络回帖,贴吧回帖,tieba-305w,上帖,自己买的人坑自己，自己作死,回帖,楼主心疼他干屌，自己买的人自己都用不好怪谁，罗霍达米安，买些这样的人还坑了后任,async_network_reply,,,,,,,,,,,,,,,,
