annotation_id,pair_id,turn_a,turn_b,resonance_present,binary_label,label_reproduction,label_parallelism,label_selective_reuse,label_repair,label_contrast,label_analogy_candidate,evidence_span_a,evidence_span_b,source,dataset_name,sample_stratum,conversation_group_key,normalized_pair_hash
F300V1-0293,2679316,你真没有点男子气，我要是你，我就打了她，烧了她，杀了她。你真是糊涂虫，没有一点生气的。你还是父亲养的，你父亲的小绵羊。我看错你了，你不是我的，你不是我的儿子。,你是冲弟弟的母亲么？你这样说话。,yes,1,0,0,1,0,1,0,你真没有点男子气,你这样说话,文本对话,雷雨,analogy_or_parallel_candidate,雷雨::entry:106164,c2210536016d60119cf99281e3291b86a9662e40ab887164597aba5e3db681f3
F300V1-0144,2734246,夫执舆者为谁？,为孔丘,yes,1,0,1,1,0,0,0,为谁,为孔丘,文本对话,论语,rule_negative_random,论语::entry:146786,bbb0be73c2b45ed93b215c834beb7f9217c23813c709137fb5991a774085f4bf
F300V1-0198,2710134,原来是你不知！他还有一个大徒弟，是五百年前大闹天宫上方太乙金仙齐天大圣，如今保护唐僧往西天拜佛求经，是普陀岩大慈大悲观音菩萨劝善，与他改名，唤做孙悟空行者。你怎么没得做，撞出这件祸来？他又在我海内遇着你的差人，夺了请帖，径入水晶宫，拿捏我父子们，有结连妖邪，抢夺人口之罪。你快把唐僧、八戒送上河边，交还了孙大圣，凭着我与他陪礼，你还好得性命，若有半个不字，休想得全生居于此也！,我与你嫡亲的姑表，你倒反护他人？听你所言，就教把唐僧送出，天地间那里有这等容易事也！你便怕他，莫成我也怕他？他若有手段，敢来我水府门前，与我交战三合，我才与他师父，若敌不过我，就连他也拿来，一齐蒸熟，也没甚么亲人，也不去请客，自家关了门，教小的们唱唱舞舞，我坐在上面，自自在在，吃他娘不是！,yes,1,1,0,1,0,1,0,唐僧 ||| 孙大圣,唐僧 ||| 他 ||| 莫成我也怕他,文本对话,西游记,hard_negative_or_boundary,西游记::entry:128353,a18fdf0042cd4a875dd929a27524d6b372ab7e388c7382c313d8884650e2c5c7
F300V1-0150,2735985,井丹高洁,未若长卿慢世。,yes,1,0,1,1,0,1,1,井丹高洁,未若长卿慢世,文本对话,世说新语,rule_negative_random,世说新语::entry:147318,5aa64df53bd08dd9905e9231df3ab0a7835f4d02f7f240d611cf3f4fbad150ef
F300V1-0056,2679929,好妹妹，媳妇听你的话，你去开导开导他，我也放心。你就快些过园子里来。,你看看就过去罢，那是侄儿媳妇。,yes,1,1,0,1,0,0,0,过园子里来,过去罢,文本对话,红楼梦,rule_positive,红楼梦::entry:106581,ea120b8aa38999b5a57545d71d05fd70225acc4a85791c0d89896e1d39c191c7
F300V1-0202,2735884,故当共推安石。,若安石东山志立，当与天下共推之。,yes,1,1,1,1,0,0,0,共推安石,安石 ||| 共推之,文本对话,世说新语,hard_negative_or_boundary,世说新语::entry:147247,7f72054d21665ffbec01e096fac1b94b3d627cbfbc3f05326aea70a2108f482c
F300V1-0220,2733787,此非距心之所得为也,今有受人之牛羊而为之牧之者，则必为之求牧与刍矣。求牧与刍而不得，则反诸其人乎？抑亦立而视其死与？,yes,1,0,0,1,0,0,1,此非距心之所得为也,今有受人之牛羊而为之牧之者,文本对话,孟子,potential_false_negative,孟子::entry:146328,2794df6c510b24542abac34211b698d482cb16cff29cbdf54742e727ea3e607f
F300V1-0028,2734095,管仲俭乎？,管氏有三归，官事不摄。焉得俭？,yes,1,1,0,1,1,1,0,管仲俭乎,焉得俭,文本对话,论语,rule_positive,论语::entry:146631,c93b10cb2dbd8f633109b3847e5a1fa880738afd7f557c4c592061b3673e534b
F300V1-0067,2697201,美国财政部上周五对一家总部位于北京的网络安全公司实施制裁。他们指责该公司帮助中国黑客渗透美国通信系统并进行监视。请问中方有何回应？,关于所谓网络攻击问题，中方已多次阐明立场。中方一贯坚决反对并依法打击黑客攻击行为，敦促美方停止利用网络安全问题污蔑抹黑中国。一段时间以来，美方大肆炒作所谓“中国黑客攻击”，甚至发起对华非法单边制裁。中方对此坚决反对，将采取必要措施维护中方的合法权益。,yes,1,1,0,1,1,1,0,网络安全公司 ||| 中国黑客,网络攻击问题 ||| 中国黑客攻击,访谈语料,mfa_press,rule_positive,mfa_press::entry:119913,caf7cf178dc37801070350f0a4ba5d8a1852e2ae6b9899f349abb53f3443b59a
F300V1-0210,2702503,我昨夜梦见神人叫我，说有旧愿不曾还得。向日许下东门外岳庙里那炷香愿，未曾还得。今日我闲些，要去还了。须和你同去。,你便自去还了罢，要我去何用？,yes,1,1,0,1,0,1,0,去还了 ||| 同去,自去还了罢 ||| 要我去何用,文本对话,水浒传,hard_negative_or_boundary,水浒传::entry:123387,44242055ddd0c4b1be9b2dd295bc2899d33f6b8fb1a6c3d8dc38931b7ad7195b
F300V1-0260,2725898,貌似喜欢男人,嘿嘿，还好菲菲是个女生，不然菲菲这么可爱，肯定会被你缠上的,yes,1,1,0,1,0,1,0,喜欢男人,女生 ||| 不然,日常对话,青云语料,potential_false_negative,青云语料::entry:139,462b5a9c9184ac53ccb3d188ad76b9a71d5b2e30eac2b828ad5605e6fab7bf33
F300V1-0007,2724086,不害狼乎？,禽兽负恩如是，而犹不忍杀。子固仁者，然愚亦甚矣。从井以救人，解衣以活友，于彼计则得，其如就死地何！先生其此类乎？仁陷于愚，固君子之所不与也。,yes,1,0,0,1,0,1,0,不害狼乎,不忍杀,文本对话,唐传奇,rule_positive,唐传奇::entry:137471,3fef640cbd59f6c11a3ac386bf1558186f43f8d6e8aef19d40328593f69565b1
F300V1-0040,2775250,被娜娜 3比0 横扫,0娜娜，何等威风,yes,1,1,0,1,0,1,0,娜娜 ||| 3比0,0娜娜,网络回帖,贴吧回帖,rule_positive,贴吧回帖::entry:277,61d2807616fca85c8131ddc7f7fe47eea557c579c7edec4ec0d3e94471d6ffdb
F300V1-0051,2733784,前日于齐，王馈兼金一百而不受；于宋，馈七十镒而受；于薛，馈五十镒而受。前日之不受是，则今日之受非也；今日之受是，则前日之不受非也。夫子必居一于此矣,皆是也。当在宋也，予将有远行。行者必以赆，辞曰：‘馈赆。’予何为不受？当在薛也，予有戒心。辞曰：‘闻戒。’故为兵馈之，予何为不受？若于齐，则未有处也。无处而馈之，是货之也。焉有君子而可以货取乎？,yes,1,1,0,1,1,1,0,不受 ||| 受,皆是也 ||| 何为不受,文本对话,孟子,rule_positive,孟子::entry:146325,29e5be723bcc32d1de16a25ee70082204e5c5193adf78b12b52a079c8216f57a
F300V1-0019,2724151,汝为怪物，焉敢缠害命官之子？,他不合冲塞了我水门。告我师，可饶恕，不曾损他性命。,yes,1,0,0,1,1,1,0,缠害命官之子,不曾损他性命,文本对话,清平山堂话本,rule_positive,清平山堂话本::entry:137515,0efd8d64dd0a5504151d06d2c095e1b8a9a1d3582c65270d8e7c5378407e093f
F300V1-0023,2678369,你现在做什么？,我到书房，看看爸写的介绍信在那儿没有。,yes,1,0,1,1,0,0,0,做什么,到书房,文本对话,雷雨,rule_positive,雷雨::entry:105973,dae6df1b1f8f0acda1388eb7957b2d7416e4df753065692686c204590b09d374
F300V1-0199,2734372,有甚麽难处？刷了锅着，烧的锅热时，着上半盏香油。将油熟了时，下上肉，着些盐，着箸子搅动。炒的半熟时，调上些酱水、生葱、料物拌了，锅子上盖覆了，休着出气，烧动火，一霎儿熟了。,这肉熟了，你尝看咸淡如何？,yes,1,1,0,1,0,0,0,肉 ||| 熟了,肉熟了 ||| 咸淡如何,文本对话,老乞大,hard_negative_or_boundary,老乞大::entry:146811,660568187f0312630cd433f17bd92f67d1fae72e6691c278c24de31b02f15e67
F300V1-0091,2720099,不能分……不能分……,你这娃娃！咱们现在应该高兴，哭什么哩！不要哭了！分家的事，我和你妈商量过了，一定要分开！咱高高兴兴往开分！分开咱还是一家人嘛！,yes,1,1,0,1,0,1,0,不能分,一定要分开,文本对话,平凡的世界,rule_negative_random,平凡的世界::entry:134845,f3fedbda92ae364e9186fc51ef23426a079a9d4017df1283916fd844d3c724a8
F300V1-0164,2724401,我不似你这等淫贱，贪生受辱，枉为人在世，泼贱之女！,好言不听，祸必临身！,yes,1,0,0,1,0,1,0,不似你这等淫贱,好言不听,文本对话,清平山堂话本,hard_negative_or_boundary,清平山堂话本::entry:137684,e68d6a272a41352f251efb98c9c67d51c09aaf749c789fdab7f26aff047606cb
F300V1-0252,2723327,知其事，又切请广画,余偶夜遇一神灵，传得画法，每不敢下笔，其如往往为妖，幸察之。,yes,1,1,0,1,0,0,0,请广画,画法 ||| 下笔,文本对话,唐传奇,potential_false_negative,唐传奇::entry:136953,44cf2c0ace9c71a0f52fddf279bfa7e2c74ea0546030789df8d657e6853027c3
F300V1-0297,3003548,你们每天几点出门上班下班到家几点了,7 40起床8 00出门8 06到单位17 30下班17 36到家,yes,1,1,1,1,0,0,0,几点出门上班下班到家几点,出门 ||| 下班 ||| 到家,日常对话,douban-multiturn-100w,analogy_or_parallel_candidate,douban-multiturn-100w::entry:79900,6d0631e2e69e517f05ac6d0b175e199c6d62655eb9699a1c384b29f81631d902
F300V1-0184,2735031,秀才哥，你与我写一纸借钱文书。,拿纸墨笔砚来，我写与你。,yes,1,1,0,1,0,0,0,写一纸借钱文书,我写与你,文本对话,朴通事,hard_negative_or_boundary,朴通事::entry:146883,e5926c00f43451680c95ca960f3828e3781639edca2c4447b83d31492b3dcef6
F300V1-0259,2757085,我至少出力让议会选你为王,给我们一个马其顿的继承人吧,yes,1,0,0,1,0,0,0,选你为王,马其顿的继承人,影视对白,subtitle-useless,potential_false_negative,subtitle-useless::entry:23836,be059e6a4ccf53b54ec9255fde9f7bc7efc4089fed463a6507b2fd75c9297149
F300V1-0206,2722902,怎样？,该走了！,yes,1,0,0,1,0,0,0,怎样,该走了,文本对话,骆驼祥子,hard_negative_or_boundary,骆驼祥子::entry:136669,b6780af4f6e7f4b8648470b8bccca99676fe861c8b5be27465f88b99caaa3f99
F300V1-0102,2736378,朝廷何以徙我？,言卿狂逆。,yes,1,0,0,1,0,0,0,何以徙我,言卿狂逆,文本对话,世说新语,rule_negative_random,世说新语::entry:147598,75424972577bde66cd9806b5f4e5c0ac10ce16d46f7e3cb3c2933daa2fb021b5
F300V1-0181,2730542,不独是以数算，大概只是参合底意思。如赵广汉欲问马，先问牛，便只是以彼数来参此数否？,是。却是恁地数了，又恁地数，也是将这个去比那个,yes,1,1,0,1,0,0,1,以彼数来参此数,将这个去比那个,文本对话,朱子语类,hard_negative_or_boundary,朱子语类::entry:143317,4fa8998b5955635711109d96ef7e31e850d90238f913c1fc8d2cbe8c4afcd7a4
F300V1-0232,2722565,听听声儿吧，铃铛似的！拉去吧，你就是把车拉碎了，要是钢条软了一根，你拿回来，把它摔在我脸上！一百块，少一分咱们吹！,我要这辆车，九十六！,yes,1,0,0,1,0,1,0,一百块,九十六,文本对话,骆驼祥子,potential_false_negative,骆驼祥子::entry:136449,03167d7d1109249b0e9822a37d7f6b549c8a2aff9055d61a0d62a990360b798a
F300V1-0215,2694027,这是最根本的一个变化。,这是制度层面。第二，在经济发展层面，实际上香港的经济发展，无论是人均GDP、人均收入，还是世界影响力、各种排名，这２０年香港在世界上都是提高的。回归以前英方，包括西方也担心回归了以后反而要降低，实际上这２０年是一直走在世界的前列。 第三，从和祖国内地的联系方面，我们实际上是第一个实行“一国两制”，在世界上也是开创性的。,yes,1,1,0,1,0,0,0,这是最根本的一个变化,这是制度层面,访谈语料,china_interview,potential_false_negative,china_interview::entry:117324,84bd5114e364adb095f72196ebd2f27f2f2aed87d0b7e8468ecca5e5ed916948
F300V1-0254,2718266,我想把顾养民捶一捶！,打了他，说不定学校会把咱们开除了……你不要动手。由我出面！,yes,1,0,0,1,1,1,0,捶一捶,不要动手 ||| 由我出面,文本对话,平凡的世界,potential_false_negative,平凡的世界::entry:133644,52050fd477d955a70364b80d38c3b2fd42cf50461e93b7cb6dd07b29461ade8c
F300V1-0263,2889358,那很好还真是没体会过这种经历,就因为这个人弄得我对水瓶男生的印象都坏了我之前很喜欢水瓶座的人这人分手之后太不可理喻,yes,1,0,0,1,0,0,0,这种经历,这个人,日常对话,douban-multiturn-100w,potential_false_negative,douban-multiturn-100w::entry:54988,e105b73067afe900066c316cb1b5dc5905658ba987b367cc770e7ba42a50be9e
F300V1-0113,2734346,小人是姑姑生的，他是舅舅生的。,你两姨弟兄，是亲两姨那，是房亲两姨？,yes,1,0,0,1,0,0,1,姑姑生的 ||| 舅舅生的,两姨弟兄 ||| 亲两姨 ||| 房亲两姨,文本对话,老乞大,rule_negative_random,老乞大::entry:146809,dd3189b47497068877fb81ff61ee4357bc7eac413154a309330000bd53c71c7f
F300V1-0208,2735192,我问你些字样。缝衣裳的“缝”字怎麽写？,那的不容易，纽丝傍做“逢”字。,yes,1,0,1,1,0,0,0,怎麽写,纽丝傍做“逢”字,文本对话,朴通事,hard_negative_or_boundary,朴通事::entry:146911,3954b53bb4fcdedf9c0d4cc4a454597e5d0ec37cc02994238f169b408c86371c
F300V1-0282,2724173,孩儿休问，烧了纸，回家去。,父亲不通名姓，有失其亲。我要性命如何？不如寻个自刎。,yes,1,0,0,1,0,1,0,孩儿休问 ||| 回家去,我要性命如何 ||| 不如寻个自刎,文本对话,清平山堂话本,analogy_or_parallel_candidate,清平山堂话本::entry:137530,dc796ddc4f2f4d3dda19e8f07b7d968b5bf722c7d2ea39bd576e05ec6c3947bf
F300V1-0216,2951012,走起来呗三姐,8月份正好暑假有机会的话就一起,yes,1,0,0,1,0,0,0,走起来,一起,日常对话,douban-multiturn-100w,potential_false_negative,douban-multiturn-100w::entry:68993,6e5a7c5380ab535b7d50fb5967f8907cc6579a8178d75c8eae63daed1a0ba91b
F300V1-0120,2734171,足食，足兵，民信之矣,必不得已而去，于斯三者何先？,yes,1,1,1,1,0,0,0,足食，足兵，民信之矣,三者何先,文本对话,论语,rule_negative_random,论语::entry:146706,48c9b6c8eedc83844ac697444ac84a4fb14d14aeb0966aace0456a528db329b5
F300V1-0217,2734305,汉儿、高丽中半。,里头也有顽的麽？,yes,1,0,0,1,0,0,0,汉儿、高丽中半,里头,文本对话,老乞大,potential_false_negative,老乞大::entry:146805,22603190ef8b887ee49286f43aba0269dfefeb219dd4c2649e736a82090a89f5
F300V1-0088,2772635,亲我想刺激你一下呢佰草集其实只是个杂牌子上货地点也比较杂就算专柜好像也一样,杂牌子能上专柜也很好了,yes,1,1,0,1,0,1,0,杂牌子 ||| 专柜,杂牌子能上专柜,日常对话,douban-multiturn-100w,rule_positive,douban-multiturn-100w::entry:27043,89304cd5602c32f658aeb8a379eded2ce2c7589fb8f7af41066b1021d661e9e0
F300V1-0110,2993802,你想了解哪方面?,你如何运作?,yes,1,0,1,1,0,0,0,哪方面,如何运作,日常对话,chatterbot,rule_negative_random,chatterbot::entry:78,3abed303daa41e9d28bfb31d6fccfac7389f7bef290cea6e879db4a4e8d57ed7
F300V1-0244,2734050,善人也，信人也,何谓善？何谓信？,yes,1,1,1,1,0,0,0,善人也，信人也,何谓善？何谓信？,文本对话,孟子,potential_false_negative,孟子::entry:146587,49083852605d979c52cf015d37beabf743ff46b9a812ed20331dfcdb8ebbb1ff
F300V1-0292,2717774,是……猫蛋？她不是好好的吗？,不是嘛，是我姐夫！,yes,1,1,0,1,1,1,0,猫蛋 ||| 不是,不是嘛 ||| 我姐夫,文本对话,平凡的世界,analogy_or_parallel_candidate,平凡的世界::entry:133318,fcd28304e22c71481e96fb0216378c778a675296e4419ddf1931acbf74cd5c9e
F300V1-0270,2750639,不要死,我現在不會死住！,yes,1,1,0,1,0,0,0,不要死,我現在不會死住,日常对话,qingyun-11w,potential_false_negative,qingyun-11w::entry:19535,95d3b828069a69bac693b7ef938914edbc52fae96f97475f0d99185fa025beca
F300V1-0160,2734150,闻斯行诸？,有父兄在，如之何闻斯行之？,yes,1,1,1,1,0,1,0,闻斯行诸,闻斯行之,文本对话,论语,hard_negative_or_boundary,论语::entry:146684,a622555e9667afb028a6a814cc8e9cc033f2ab6d6c0a8be2425334e333f2e2b4
F300V1-0127,2715076,自那混沌分时，天开于子，地辟于丑，人生于寅，天地再交合，万物尽皆生。万物有走兽飞禽，走兽以麒麟为之长，飞禽以凤凰为之长。那凤凰又得交合之气，育生孔雀、大鹏。孔雀出世之时最恶，能吃人，四十五里路把人一口吸之。我在雪山顶上，修成丈六金身，早被他也把我吸下肚去。我欲从他便门而出，恐污真身，是我剖开他脊背，跨上灵山。欲伤他命，当被诸佛劝解，伤孔雀如伤我母，故此留他在灵山会上，封他做佛母孔雀大明王菩萨。大鹏与他是一母所生，故此有些亲处。,如来，若这般比论，你还是妖精的外甥哩。,yes,1,0,0,1,0,1,1,一母所生 ||| 亲处,外甥,文本对话,西游记,rule_negative_random,西游记::entry:131531,78fdffa3dbe4788b625a809731ec8655c557ef0927bf5de17088fad44babd1d8
F300V1-0081,2719051,少安给我姐送了一块毛毯，托少平捎来了，少平说要交给你。,那让他进来一块吃饭嘛！,yes,1,0,0,1,0,0,0,少平,他,文本对话,平凡的世界,rule_positive,平凡的世界::entry:134157,88d87ab7e77d72ff5bd8d64a983f4f21bd4c45f3bec87900a28d15f55956f022
F300V1-0082,2681662,既这么着，你也不许洗去，只洗洗手来拿果子来吃罢。,我慌张的很，连扇子还跌折了，那里还配打发吃果子。倘或再打破了盘子，还更了不得呢。,yes,1,1,0,1,0,1,0,拿果子来吃,那里还配打发吃果子,文本对话,红楼梦,rule_positive,红楼梦::entry:107895,74e6a6689de53e93f4e0a99ff29f8ca7208a7c59b95263760a322a895ac6162c
F300V1-0288,2711806,怎么叫做将计就计？,你若使住法儿不允他，他便不肯倒换关文，不放我们走路。倘或意恶心毒，喝令多人割了你肉，做甚么香袋啊，我等岂有善报？一定要使出降魔荡怪的神通。你知我们的手脚又重，器械又凶，但动动手儿，这一国的人尽打杀了。他虽然阻当我等，却不是怪物妖精，还是一国人身；你又平素是个好善慈悲的人，在路上一灵不损，若打杀无限的平人，你心何忍！诚为不善了也。,yes,1,0,0,1,0,0,0,怎么叫做将计就计,你若使住法儿不允他,文本对话,西游记,analogy_or_parallel_candidate,西游记::entry:129423,9a9383e82a194e83568d0bf8dca3efca5bf3f2f0bc2f5ee32ed240f9e74c0d39
F300V1-0261,2733378,某人如何？,也靠不得,yes,1,0,0,1,0,0,0,如何,也靠不得,文本对话,朱子语类,potential_false_negative,朱子语类::entry:145956,3a993196dc0d1f49a02ce62067fc822d15b84cbe8948ff50a99d92f992eb94c1
F300V1-0063,2734463,那个是刘清甫酒馆，是我街坊，怎麽不认的？,虽然这般时，房子委实窄，宿不得。,yes,1,0,0,1,0,1,0,怎麽不认的,虽然这般时,文本对话,老乞大,rule_positive,老乞大::entry:146819,8415aae17e52a442a7d626f2cb83501ef0b8f3b6135c4b951beda161dd2d5abd
F300V1-0087,2693913,我们知道杭州借助信息化改善医疗服务也是入选了国务院医改领导小组印发的《深化医药卫生体制改革典型案例》，您认为杭州这些做法有哪一些地方是值得在全国进行推广和借鉴的呢？,落实政府的责任还是首要的。所以，因为政府改革的主要目的就是让人民群众享受到改革带来的便利或者是实惠。所以，从讲政治的角度来说，应该去很好地践行。这是第一个。 第二，从社会效益来讲。因为我们卫生系统本身就是救死扶伤的，我们杭州也提出了一个工作的理念，叫医学有局限，勇于攀登；服务无止境，追求卓越。我们卫生系统本身就是救死扶伤，就必须贴近为人民群众解决实际问题。另外，在当前进一步构建新型的和谐医患关系的过程中间，我们卫生人不能等体制机制都变了，我们才有所作为，我们应该敢于担当，主动作为。,yes,1,0,0,1,0,0,0,值得在全国进行推广和借鉴,落实政府的责任还是首要的,访谈语料,china_interview,rule_positive,china_interview::entry:117225,3bbfc3601c721540e7b9c6ac21950e95c73c85575a8bfcf90ab27bfb5b8bbae1
F300V1-0013,2998903,优美胜于丑陋.,明了胜于晦涩.,yes,1,1,1,0,0,0,1,优美胜于丑陋,明了胜于晦涩,日常对话,chatterbot,rule_positive,chatterbot::entry:79,945611e961408f631a81fc59eadc6fd631348a32e0ee6b53d97c4de0f23b0f0a
F300V1-0237,2728842,『非其君不仕，非其民不使』；『治亦进，乱亦进，不羞污君，不辞小官』，气象可谓已甚矣，而目之曰圣人之清、和，似颇难会,虽是圣，终有过当处,yes,1,1,0,1,0,1,0,圣人之清、和,虽是圣 ||| 过当处,文本对话,朱子语类,potential_false_negative,朱子语类::entry:141729,578630b353365486aa6d83695d821b85bd6ce029a1fc3cb3de4fb6d6f4dd800e
F300V1-0031,2747704,没事~,哦，没事就好,yes,1,1,0,1,0,0,0,没事,没事就好,日常对话,青云语料,rule_positive,青云语料::entry:168,eee88d2b953f9508e83e78d0b9f096128902f641a431084fdb70f7a2a513d5e6
F300V1-0238,2754833,参考 呆湾就不会有温格了,改成白色恐怖么,yes,1,1,0,1,0,0,1,参考 呆湾,白色恐怖,网络回帖,贴吧回帖,potential_false_negative,贴吧回帖::entry:233,364342ad850bea20339e366ec83d51e990cd3e7821b1eecd9891135ed67d3a7f
F300V1-0096,2734147,师也过，商也不及,然则师愈与？,yes,1,1,0,1,0,0,0,师,师,文本对话,论语,rule_negative_random,论语::entry:146681,aef709b2c5afad1f4783f6b5626434c90ec99319dfb7cf35dab2d154c0446d40
F300V1-0161,2705340,这个庄客倒眼乖。,师父怎生得知？,yes,1,0,0,1,0,0,0,眼乖,怎生得知,文本对话,水浒传,hard_negative_or_boundary,水浒传::entry:125232,5e2180c75470424b93c2bd3f7139999e57c334b8893410ff486a72ae167a3388
F300V1-0068,2727131,横渠说，以为『予所否厄者，是天厌弃之』。此说如何？,大抵后来人讲经，只为要道圣人必不如此，须要委曲迁就，做一个出路，却不必如此。横渠论看诗，教人平心易气求之。到他说诗，又却不然,yes,1,1,0,1,1,1,0,横渠说 ||| 此说如何,横渠论看诗 ||| 又却不然,文本对话,朱子语类,rule_positive,朱子语类::entry:140137,2cfd5985e0cc189e9c225d7683db53641957a8928ac89fbbd0d172c0dc85ef3a
F300V1-0173,2755159,参考北韩,台湾蒋氏又参考谁呢？,yes,1,1,1,1,0,1,1,参考北韩,参考谁,网络回帖,贴吧回帖,hard_negative_or_boundary,贴吧回帖::entry:234,cbded7ab4de26319a0a2fd3b5333fc688fd56c43e26d68d04e974685e558afa9
F300V1-0299,2689524,我若是死在这里，倒把太太的好心弄坏了。我该死在家里才是。,哥哥办事不错，若是死在哥哥家里，岂不又害了哥哥呢。,yes,1,1,1,1,0,1,1,死在这里,死在哥哥家里 ||| 害了哥哥,文本对话,红楼梦,analogy_or_parallel_candidate,红楼梦::entry:113916,6eaf2debf5909a2827f36890471e3a99166e3ecc99aa0176554465b3ebf41835
F300V1-0054,2734117,弟子孰为好学？,有颜回者好学，不迁怒，不贰过，不幸短命死矣！今也则亡，未闻好学者也,yes,1,1,1,1,0,0,0,孰为好学,颜回者好学,文本对话,论语,rule_positive,论语::entry:146653,ec883124f67b9da87d3bfde762e8607bb8aa16094e0e5b3ea90ff9d72df2ebd0
F300V1-0045,2724332,妾闻'男冠而有室，女笄而有家'，今琼年二十，闺房之事，想已知之。且琛居门下，亦有年矣，而琼岂无思念之心？妾视动静之间，俱有不足之意；不如早命纳琛为婿，庶免彰人之耳目。,【彧】：依汝言也罢。,yes,1,0,0,1,0,0,0,早命纳琛为婿,依汝言也罢,文本对话,清平山堂话本,rule_positive,清平山堂话本::entry:137636,a30e6750c2521c04897985c2ebcf9682514df7a8bb82b1c47e537497dac16120
F300V1-0187,2678585,倒了它？,嗯？好，要不，你先把它放在那儿。不，你还是倒了它。,yes,1,1,0,1,1,0,0,倒了它,倒了它,文本对话,雷雨,hard_negative_or_boundary,雷雨::entry:106016,3fe9ffbdb219e1f31ae8481b842b6fe6f73d322d440a794329cb03e92272e626
