candidate_id,annotation_id,pair_id,pred_column_id,pred_span_a,pred_span_b,pred_relation_type,pred_relation_strength,pred_alignment_direction,pred_is_core_column,pred_supports_resonance,pred_confidence,generator_name,generator_version,notes,from_rule_v1,from_rule_v1_1,source_count,candidate_tier,candidate_pool_note,needs_bert_score,suggested_bert_task
BCPV0-0011,F300V1-0023,2678369,CP01,你,我,coreference_or_demonstrative,strong,A_to_B,0,1,high,bert_candidate_pool,v0,rule_v1:rule=coreference; speaker-role / deictic shift | rule_v1.1:rule=coreference; constrained speaker-role / deictic shift,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P02|rule_v1.1:P02; core_policy=source_or; risk_flags=high_risk_relation=coreference_or_demonstrative,1,rerank_or_keep;relation_type_check
BCPV0-0012,F300V1-0023,2678369,CP02,你现在做什么,我到书房,slot_filling,medium,A_to_B,1,1,medium,bert_candidate_pool,v0,rule_v1.1:rule=slot_filling; explicit wh-question answered by B-side clause,0,1,1,precision_ablation_only,merged_from=rule_v1.1; source_pred_ids=rule_v1.1:P01; core_policy=source_or; risk_flags=high_risk_relation=slot_filling,1,rerank_or_keep;relation_type_check
BCPV0-0013,F300V1-0023,2678369,CP03,你现在做什么,那,coreference_or_demonstrative,medium,A_to_B,0,1,low,bert_candidate_pool,v0,rule_v1:rule=demonstrative; proposition recall via 那,1,0,1,recall_rule_only,merged_from=rule_v1; source_pred_ids=rule_v1:P03; core_policy=source_or; risk_flags=low_source_confidence|high_risk_relation=coreference_or_demonstrative,1,false_positive_filter;relation_type_check
BCPV0-0014,F300V1-0023,2678369,CP04,你现在做什么,我到书房,short_answer,medium,A_to_B,1,1,medium,bert_candidate_pool,v0,rule_v1:rule=short_answer; explicit question with short B-side answer,1,0,1,recall_rule_only,merged_from=rule_v1; source_pred_ids=rule_v1:P01; core_policy=source_or; risk_flags=high_risk_relation=short_answer,1,false_positive_filter
BCPV0-0015,F300V1-0024,2712070,CP01,在西梁国毒敌山琵琶洞,却来呼唤小神,contrast,medium,A_to_B,1,1,medium,bert_candidate_pool,v0,rule_v1:rule=contrast; explicit contrast/evaluation marker in B | rule_v1.1:rule=contrast; alternative plan / subject shift / evaluative reversal in B,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P01|rule_v1.1:P01; core_policy=source_or; risk_flags=high_risk_relation=contrast,1,rerank_or_keep;relation_type_check
BCPV0-0016,F300V1-0024,2712070,CP02,在西梁国毒敌山琵琶洞,那,coreference_or_demonstrative,medium,A_to_B,0,1,low,bert_candidate_pool,v0,rule_v1:rule=demonstrative; proposition recall via 那,1,0,1,recall_rule_only,merged_from=rule_v1; source_pred_ids=rule_v1:P02; core_policy=source_or; risk_flags=low_source_confidence|high_risk_relation=coreference_or_demonstrative,1,false_positive_filter;relation_type_check
BCPV0-0017,F300V1-0043,2651422,CP01,你,我,coreference_or_demonstrative,strong,A_to_B,1,1,medium,bert_candidate_pool,v0,rule_v1:rule=coreference; speaker-role / deictic shift,1,0,1,recall_rule_only,merged_from=rule_v1; source_pred_ids=rule_v1:P01; core_policy=source_or; risk_flags=high_risk_relation=coreference_or_demonstrative,1,false_positive_filter;relation_type_check
BCPV0-0018,F300V1-0046,2751328,CP01,什么是共产主义,一个社会政治运动主张生产资料,slot_filling,strong,A_to_B,1,1,high,bert_candidate_pool,v0,rule_v1:rule=slot_filling; definition-style question answering | rule_v1.1:rule=slot_filling; definition-style question answering,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P01|rule_v1.1:P01; core_policy=source_or; risk_flags=high_risk_relation=slot_filling,1,rerank_or_keep;relation_type_check
BCPV0-0019,F300V1-0050,2708953,CP01,叫做,叫做,lexical_reproduction,medium,mutual,0,1,medium,bert_candidate_pool,v0,rule_v1:rule=lexical_reproduction; exact common substring | rule_v1.1:rule=lexical_reproduction; pruned exact common substring,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P02|rule_v1.1:P02; core_policy=source_or; risk_flags=none,1,rerank_or_keep
BCPV0-0020,F300V1-0050,2708953,CP02,那差来的叫做甚么名字,他叫做巴山虎,slot_filling,medium,A_to_B,1,1,medium,bert_candidate_pool,v0,rule_v1:rule=slot_filling; wh-question answered by B-side clause | rule_v1.1:rule=slot_filling; explicit wh-question answered by B-side clause,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P01|rule_v1.1:P01; core_policy=source_or; risk_flags=high_risk_relation=slot_filling,1,rerank_or_keep;relation_type_check
BCPV0-0021,F300V1-0053,2735845,CP01,刘东曹何以不下意,会不能用,slot_filling,medium,A_to_B,1,1,medium,bert_candidate_pool,v0,rule_v1.1:rule=slot_filling; explicit wh-question answered by B-side clause,0,1,1,precision_ablation_only,merged_from=rule_v1.1; source_pred_ids=rule_v1.1:P01; core_policy=source_or; risk_flags=high_risk_relation=slot_filling,1,rerank_or_keep;relation_type_check
BCPV0-0022,F300V1-0053,2735845,CP02,刘东曹何以不下意,会不能用,short_answer,medium,A_to_B,1,1,medium,bert_candidate_pool,v0,rule_v1:rule=short_answer; explicit question with short B-side answer,1,0,1,recall_rule_only,merged_from=rule_v1; source_pred_ids=rule_v1:P01; core_policy=source_or; risk_flags=high_risk_relation=short_answer,1,false_positive_filter
BCPV0-0023,F300V1-0055,2717672,CP01,一个班,一个班,lexical_reproduction,medium,mutual,1,1,medium,bert_candidate_pool,v0,rule_v1:rule=lexical_reproduction; exact common substring | rule_v1.1:rule=lexical_reproduction; pruned exact common substring,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P02|rule_v1.1:P02; core_policy=source_or; risk_flags=none,1,rerank_or_keep
BCPV0-0024,F300V1-0055,2717672,CP02,和晓霞,和晓霞,lexical_reproduction,medium,mutual,1,1,medium,bert_candidate_pool,v0,rule_v1:rule=lexical_reproduction; exact common substring | rule_v1.1:rule=lexical_reproduction; pruned exact common substring,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P03|rule_v1.1:P03; core_policy=source_or; risk_flags=none,1,rerank_or_keep
BCPV0-0025,F300V1-0055,2717672,CP03,都长这么大了,和晓霞不一个班,slot_filling,medium,A_to_B,1,1,medium,bert_candidate_pool,v0,rule_v1:rule=slot_filling; wh-question answered by B-side clause | rule_v1.1:rule=slot_filling; explicit wh-question answered by B-side clause,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P01|rule_v1.1:P01; core_policy=source_or; risk_flags=high_risk_relation=slot_filling,1,rerank_or_keep;relation_type_check
BCPV0-0026,F300V1-0081,2719051,CP01,一块,一块,lexical_reproduction,medium,mutual,1,1,medium,bert_candidate_pool,v0,rule_v1:rule=lexical_reproduction; exact common substring | rule_v1.1:rule=lexical_reproduction; pruned exact common substring,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P01|rule_v1.1:P01; core_policy=source_or; risk_flags=none,1,rerank_or_keep
BCPV0-0027,F300V1-0081,2719051,CP02,少平说要交给你,那,coreference_or_demonstrative,medium,A_to_B,0,1,low,bert_candidate_pool,v0,rule_v1:rule=demonstrative; proposition recall via 那,1,0,1,recall_rule_only,merged_from=rule_v1; source_pred_ids=rule_v1:P02; core_policy=source_or; risk_flags=low_source_confidence|high_risk_relation=coreference_or_demonstrative,1,false_positive_filter;relation_type_check
BCPV0-0028,F300V1-0111,2785026,CP01,早就说过某些球迷是多么的可笑,真.破车迷,slot_filling,medium,A_to_B,1,1,medium,bert_candidate_pool,v0,rule_v1:rule=slot_filling; wh-question answered by B-side clause | rule_v1.1:rule=slot_filling; explicit wh-question answered by B-side clause,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P01|rule_v1.1:P01; core_policy=source_or; risk_flags=high_risk_relation=slot_filling,1,rerank_or_keep;relation_type_check
BCPV0-0029,F300V1-0127,2715076,CP01,我,你,coreference_or_demonstrative,strong,A_to_B,1,1,high,bert_candidate_pool,v0,rule_v1:rule=coreference; speaker-role / deictic shift | rule_v1.1:rule=coreference; constrained speaker-role / deictic shift,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P02|rule_v1.1:P01; core_policy=source_or; risk_flags=high_risk_relation=coreference_or_demonstrative,1,rerank_or_keep;relation_type_check
BCPV0-0030,F300V1-0127,2715076,CP02,故此有些亲处,这般,coreference_or_demonstrative,medium,A_to_B,0,1,medium,bert_candidate_pool,v0,rule_v1:rule=demonstrative; proposition recall via 这般 | rule_v1.1:rule=demonstrative; constrained proposition recall via 这般,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P03|rule_v1.1:P02; core_policy=source_or; risk_flags=high_risk_relation=coreference_or_demonstrative,1,rerank_or_keep;relation_type_check
BCPV0-0031,F300V1-0127,2715076,CP03,故此有些亲处,你还是妖精的外甥哩,contrast,medium,A_to_B,1,1,medium,bert_candidate_pool,v0,rule_v1:rule=contrast; explicit contrast/evaluation marker in B,1,0,1,recall_rule_only,merged_from=rule_v1; source_pred_ids=rule_v1:P01; core_policy=source_or; risk_flags=high_risk_relation=contrast,1,false_positive_filter;relation_type_check
BCPV0-0032,F300V1-0128,2733691,CP01,则齐其庶几乎,可得闻与,slot_filling,medium,A_to_B,1,1,medium,bert_candidate_pool,v0,rule_v1.1:rule=slot_filling; explicit wh-question answered by B-side clause,0,1,1,precision_ablation_only,merged_from=rule_v1.1; source_pred_ids=rule_v1.1:P01; core_policy=source_or; risk_flags=high_risk_relation=slot_filling,1,rerank_or_keep;relation_type_check
BCPV0-0033,F300V1-0128,2733691,CP02,则齐其庶几乎,可得闻与,short_answer,medium,A_to_B,1,1,medium,bert_candidate_pool,v0,rule_v1:rule=short_answer; explicit question with short B-side answer,1,0,1,recall_rule_only,merged_from=rule_v1; source_pred_ids=rule_v1:P01; core_policy=source_or; risk_flags=high_risk_relation=short_answer,1,false_positive_filter
BCPV0-0034,F300V1-0137,2734311,CP01,你,我,coreference_or_demonstrative,strong,A_to_B,0,1,medium,bert_candidate_pool,v0,rule_v1:rule=coreference; speaker-role / deictic shift,1,0,1,recall_rule_only,merged_from=rule_v1; source_pred_ids=rule_v1:P02; core_policy=source_or; risk_flags=high_risk_relation=coreference_or_demonstrative,1,false_positive_filter;relation_type_check
BCPV0-0035,F300V1-0137,2734311,CP02,哥哥你贵姓？,我姓王,short_answer,medium,A_to_B,1,1,medium,bert_candidate_pool,v0,rule_v1:rule=short_answer; explicit question with short B-side answer,1,0,1,recall_rule_only,merged_from=rule_v1; source_pred_ids=rule_v1:P01; core_policy=source_or; risk_flags=high_risk_relation=short_answer,1,false_positive_filter
BCPV0-0036,F300V1-0167,2841351,CP01,什么样的电脑,我在各种计算机上工作,slot_filling,medium,A_to_B,1,1,medium,bert_candidate_pool,v0,rule_v1:rule=slot_filling; wh-question answered by B-side clause | rule_v1.1:rule=slot_filling; explicit wh-question answered by B-side clause,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P01|rule_v1.1:P01; core_policy=source_or; risk_flags=high_risk_relation=slot_filling,1,rerank_or_keep;relation_type_check
BCPV0-0037,F300V1-0170,2801273,CP01,喜欢,喜欢,lexical_reproduction,medium,mutual,1,1,medium,bert_candidate_pool,v0,rule_v1:rule=lexical_reproduction; exact common substring | rule_v1.1:rule=lexical_reproduction; pruned exact common substring,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P01|rule_v1.1:P01; core_policy=source_or; risk_flags=none,1,rerank_or_keep
BCPV0-0038,F300V1-0170,2801273,CP02,你,我,coreference_or_demonstrative,strong,A_to_B,0,1,medium,bert_candidate_pool,v0,rule_v1:rule=coreference; speaker-role / deictic shift,1,0,1,recall_rule_only,merged_from=rule_v1; source_pred_ids=rule_v1:P02; core_policy=source_or; risk_flags=high_risk_relation=coreference_or_demonstrative,1,false_positive_filter;relation_type_check
BCPV0-0039,F300V1-0187,2678585,CP01,倒了它,倒了它,lexical_reproduction,medium,mutual,1,1,medium,bert_candidate_pool,v0,rule_v1:rule=lexical_reproduction; exact common substring | rule_v1.1:rule=lexical_reproduction; pruned exact common substring,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P01|rule_v1.1:P01; core_policy=source_or; risk_flags=none,1,rerank_or_keep
BCPV0-0040,F300V1-0187,2678585,CP02,倒了它,你还是倒了它,contrast,medium,A_to_B,0,1,medium,bert_candidate_pool,v0,rule_v1:rule=contrast; explicit contrast/evaluation marker in B,1,0,1,recall_rule_only,merged_from=rule_v1; source_pred_ids=rule_v1:P02; core_policy=source_or; risk_flags=high_risk_relation=contrast,1,false_positive_filter;relation_type_check
BCPV0-0041,F300V1-0187,2678585,CP03,倒了它,那,coreference_or_demonstrative,medium,A_to_B,0,1,low,bert_candidate_pool,v0,rule_v1:rule=demonstrative; proposition recall via 那,1,0,1,recall_rule_only,merged_from=rule_v1; source_pred_ids=rule_v1:P03; core_policy=source_or; risk_flags=low_source_confidence|high_risk_relation=coreference_or_demonstrative,1,false_positive_filter;relation_type_check
BCPV0-0042,F300V1-0196,2689629,CP01,刚才,刚才,lexical_reproduction,medium,mutual,1,1,medium,bert_candidate_pool,v0,rule_v1:rule=lexical_reproduction; exact common substring | rule_v1.1:rule=lexical_reproduction; pruned exact common substring,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P01|rule_v1.1:P01; core_policy=source_or; risk_flags=none,1,rerank_or_keep
BCPV0-0043,F300V1-0204,2694237,CP01,两岸交流,两岸交流,lexical_reproduction,strong,mutual,1,1,high,bert_candidate_pool,v0,rule_v1:rule=lexical_reproduction; exact common substring | rule_v1.1:rule=lexical_reproduction; pruned exact common substring,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P01|rule_v1.1:P01; core_policy=source_or; risk_flags=none,1,rerank_or_keep
BCPV0-0044,F300V1-0204,2694237,CP02,台湾,台湾,lexical_reproduction,medium,mutual,0,1,medium,bert_candidate_pool,v0,rule_v1:rule=lexical_reproduction; exact common substring | rule_v1.1:rule=lexical_reproduction; pruned exact common substring,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P02|rule_v1.1:P02; core_policy=source_or; risk_flags=none,1,rerank_or_keep
BCPV0-0045,F300V1-0204,2694237,CP03,请问对此有何评论,这,coreference_or_demonstrative,medium,A_to_B,0,1,low,bert_candidate_pool,v0,rule_v1:rule=demonstrative; proposition recall via 这,1,0,1,recall_rule_only,merged_from=rule_v1; source_pred_ids=rule_v1:P04; core_policy=source_or; risk_flags=low_source_confidence|high_risk_relation=coreference_or_demonstrative,1,false_positive_filter;relation_type_check
BCPV0-0046,F300V1-0204,2694237,CP04,大陆,大陆,lexical_reproduction,medium,mutual,0,1,medium,bert_candidate_pool,v0,rule_v1:rule=lexical_reproduction; exact common substring,1,0,1,recall_rule_only,merged_from=rule_v1; source_pred_ids=rule_v1:P03; core_policy=source_or; risk_flags=none,1,false_positive_filter
BCPV0-0047,F300V1-0209,2734257,CP01,五美,五美,lexical_reproduction,medium,mutual,1,1,medium,bert_candidate_pool,v0,rule_v1:rule=lexical_reproduction; exact common substring | rule_v1.1:rule=lexical_reproduction; pruned exact common substring,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P01|rule_v1.1:P01; core_policy=source_or; risk_flags=none,1,rerank_or_keep
BCPV0-0048,F300V1-0211,2743169,CP01,这意味着让其中一人抛弃朋友,是这样吗,coreference_or_demonstrative,medium,A_to_B,1,1,medium,bert_candidate_pool,v0,rule_v1:rule=demonstrative; proposition recall via 是这样吗,1,0,1,recall_rule_only,merged_from=rule_v1; source_pred_ids=rule_v1:P01; core_policy=source_or; risk_flags=high_risk_relation=coreference_or_demonstrative,1,false_positive_filter;relation_type_check
BCPV0-0049,F300V1-0214,2785425,CP01,真.破车迷,还是孔帝不行,contrast,medium,A_to_B,1,1,medium,bert_candidate_pool,v0,rule_v1:rule=contrast; explicit contrast/evaluation marker in B,1,0,1,recall_rule_only,merged_from=rule_v1; source_pred_ids=rule_v1:P01; core_policy=source_or; risk_flags=high_risk_relation=contrast,1,false_positive_filter;relation_type_check
BCPV0-0050,F300V1-0250,2705383,CP01,定没这事,这,coreference_or_demonstrative,medium,A_to_B,1,1,low,bert_candidate_pool,v0,rule_v1:rule=demonstrative; proposition recall via 这,1,0,1,recall_rule_only,merged_from=rule_v1; source_pred_ids=rule_v1:P01; core_policy=source_or; risk_flags=low_source_confidence|high_risk_relation=coreference_or_demonstrative,1,false_positive_filter;relation_type_check
BCPV0-0051,F300V1-0254,2718266,CP01,我,你,coreference_or_demonstrative,strong,A_to_B,1,1,high,bert_candidate_pool,v0,rule_v1:rule=coreference; speaker-role / deictic shift | rule_v1.1:rule=coreference; constrained speaker-role / deictic shift,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P01|rule_v1.1:P01; core_policy=source_or; risk_flags=high_risk_relation=coreference_or_demonstrative,1,rerank_or_keep;relation_type_check
BCPV0-0052,F300V1-0271,2754026,CP01,私人飞机,私人飞机,lexical_reproduction,strong,mutual,1,1,high,bert_candidate_pool,v0,rule_v1:rule=lexical_reproduction; exact common substring | rule_v1.1:rule=lexical_reproduction; pruned exact common substring,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P02|rule_v1.1:P02; core_policy=source_or; risk_flags=none,1,rerank_or_keep
BCPV0-0053,F300V1-0271,2754026,CP02,我魔的私人飞机呢,这两人不是主力吧,slot_filling,medium,A_to_B,1,1,medium,bert_candidate_pool,v0,rule_v1:rule=slot_filling; wh-question answered by B-side clause | rule_v1.1:rule=slot_filling; explicit wh-question answered by B-side clause,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P01|rule_v1.1:P01; core_policy=source_or; risk_flags=high_risk_relation=slot_filling,1,rerank_or_keep;relation_type_check
BCPV0-0054,F300V1-0271,2754026,CP03,我魔的私人飞机呢,这,coreference_or_demonstrative,medium,A_to_B,0,1,low,bert_candidate_pool,v0,rule_v1:rule=demonstrative; proposition recall via 这,1,0,1,recall_rule_only,merged_from=rule_v1; source_pred_ids=rule_v1:P03; core_policy=source_or; risk_flags=low_source_confidence|high_risk_relation=coreference_or_demonstrative,1,false_positive_filter;relation_type_check
BCPV0-0055,F300V1-0287,2696063,CP01,与俄,与俄,lexical_reproduction,medium,mutual,1,1,medium,bert_candidate_pool,v0,rule_v1:rule=lexical_reproduction; exact common substring | rule_v1.1:rule=lexical_reproduction; pruned exact common substring,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P01|rule_v1.1:P01; core_policy=source_or; risk_flags=none,1,rerank_or_keep
BCPV0-0056,F300V1-0287,2696063,CP02,冲突,冲突,lexical_reproduction,medium,mutual,0,1,medium,bert_candidate_pool,v0,rule_v1:rule=lexical_reproduction; exact common substring | rule_v1.1:rule=lexical_reproduction; pruned exact common substring,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P02|rule_v1.1:P02; core_policy=source_or; risk_flags=none,1,rerank_or_keep
BCPV0-0057,F300V1-0287,2696063,CP03,北约,北约,lexical_reproduction,medium,mutual,0,1,medium,bert_candidate_pool,v0,rule_v1:rule=lexical_reproduction; exact common substring,1,0,1,recall_rule_only,merged_from=rule_v1; source_pred_ids=rule_v1:P03; core_policy=source_or; risk_flags=none,1,false_positive_filter
BCPV0-0058,F300V1-0290,2723647,CP01,宫嫔,宫嫔,lexical_reproduction,medium,mutual,1,1,medium,bert_candidate_pool,v0,rule_v1:rule=lexical_reproduction; exact common substring | rule_v1.1:rule=lexical_reproduction; pruned exact common substring,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P02|rule_v1.1:P01; core_policy=source_or; risk_flags=none,1,rerank_or_keep
BCPV0-0059,F300V1-0290,2723647,CP02,无双,无双,lexical_reproduction,medium,mutual,0,1,medium,bert_candidate_pool,v0,rule_v1:rule=lexical_reproduction; exact common substring | rule_v1.1:rule=lexical_reproduction; pruned exact common substring,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P03|rule_v1.1:P02; core_policy=source_or; risk_flags=none,1,rerank_or_keep
BCPV0-0060,F300V1-0290,2723647,CP03,我闻宫嫔选在掖庭，多是衣冠子女，我恐无双在焉。汝为我一窥，可乎？,宫嫔数千,short_answer,medium,A_to_B,1,1,medium,bert_candidate_pool,v0,rule_v1:rule=short_answer; explicit question with short B-side answer,1,0,1,recall_rule_only,merged_from=rule_v1; source_pred_ids=rule_v1:P01; core_policy=source_or; risk_flags=high_risk_relation=short_answer,1,false_positive_filter
BCPV0-0061,F300V1-0298,2693772,CP01,撬动,撬动,lexical_reproduction,medium,mutual,0,1,medium,bert_candidate_pool,v0,rule_v1:rule=lexical_reproduction; exact common substring | rule_v1.1:rule=lexical_reproduction; pruned exact common substring,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P02|rule_v1.1:P02; core_policy=source_or; risk_flags=none,1,rerank_or_keep
BCPV0-0062,F300V1-0298,2693772,CP02,文化,文化,lexical_reproduction,medium,mutual,0,1,medium,bert_candidate_pool,v0,rule_v1:rule=lexical_reproduction; exact common substring | rule_v1.1:rule=lexical_reproduction; pruned exact common substring,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P03|rule_v1.1:P03; core_policy=source_or; risk_flags=none,1,rerank_or_keep
BCPV0-0063,F300V1-0298,2693772,CP03,如何能更好地撬动国际文化产业资源,其实这也是两个方面,slot_filling,medium,A_to_B,1,1,medium,bert_candidate_pool,v0,rule_v1:rule=slot_filling; wh-question answered by B-side clause | rule_v1.1:rule=slot_filling; explicit wh-question answered by B-side clause,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P01|rule_v1.1:P01; core_policy=source_or; risk_flags=high_risk_relation=slot_filling,1,rerank_or_keep;relation_type_check
BCPV0-0064,F300V1-0298,2693772,CP04,实现合作共荣地可持续发展,这,coreference_or_demonstrative,medium,A_to_B,0,1,low,bert_candidate_pool,v0,rule_v1:rule=demonstrative; proposition recall via 这,1,0,1,recall_rule_only,merged_from=rule_v1; source_pred_ids=rule_v1:P04; core_policy=source_or; risk_flags=low_source_confidence|high_risk_relation=coreference_or_demonstrative,1,false_positive_filter;relation_type_check
BCPV0-0065,F300V1-0299,2689524,CP01,家里,家里,lexical_reproduction,medium,mutual,0,1,medium,bert_candidate_pool,v0,rule_v1:rule=lexical_reproduction; exact common substring | rule_v1.1:rule=lexical_reproduction; pruned exact common substring,1,1,2,high_precision_rule,merged_from=rule_v1+rule_v1.1; source_pred_ids=rule_v1:P02|rule_v1.1:P02; core_policy=source_or; risk_flags=none,1,rerank_or_keep
