annotation_id,pair_id,source,dataset_name,speaker_a,turn_a,speaker_b,turn_b,resonance_present,label_reproduction,label_parallelism,label_selective_reuse,label_repair,label_contrast,label_analogy_candidate,evidence_span_a,evidence_span_b,annotator_note,uncertainty_reason,gold_candidate_status,top30_review_applied,reviewer_confidence,final_decision_note,previous_resonance_present,previous_label_reproduction,previous_label_parallelism,previous_label_selective_reuse,previous_label_repair,previous_label_contrast,previous_label_analogy_candidate,previous_evidence_span_a,previous_evidence_span_b,gold_candidate_v2_status,round2_review_applied,round2_reviewer_confidence,round2_final_decision_note,round2_previous_resonance_present,round2_previous_label_reproduction,round2_previous_label_parallelism,round2_previous_label_selective_reuse,round2_previous_label_repair,round2_previous_label_contrast,round2_previous_label_analogy_candidate,round2_previous_evidence_span_a,round2_previous_evidence_span_b,gold_candidate_v3_status,final_sanity_review_applied,final_sanity_reviewer_confidence,final_sanity_final_decision_note,final_sanity_previous_resonance_present,final_sanity_previous_label_reproduction,final_sanity_previous_label_parallelism,final_sanity_previous_label_selective_reuse,final_sanity_previous_label_repair,final_sanity_previous_label_contrast,final_sanity_previous_label_analogy_candidate,final_sanity_previous_evidence_span_a,final_sanity_previous_evidence_span_b,final_sanity_inferred_from_user_message,final_sanity_changed_fields,gold_v1_status,gold_v1_freeze_source,gold_v1_frozen_at
F300V1-0013,2998903,日常对话,chatterbot,,优美胜于丑陋.,,明了胜于晦涩.,yes,1,1,0,0,0,1,优美胜于丑陋,明了胜于晦涩,两轮共享“X胜于Y”构式，评价维度成对替换，属于强结构平行和类比候选。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_after_final_sanity,1,high,两轮共享“X胜于Y”构式，评价维度成对替换，保留核心parallelism和analogy_candidate，维持yes。,yes,1,1,0,0,0,1,优美胜于丑陋,明了胜于晦涩,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0014,2754499,网络回帖,贴吧回帖,上文,参考现在的朝鲜,回帖,为毛不参考呆湾,yes,1,1,1,0,1,1,参考现在的朝鲜,不参考呆湾,B复现“参考”框架并替换比较对象，用同一论证格式反向质疑A。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0015,2695098,访谈语料,mfa_press,东方卫视记者,我们关注到有报道表示，日前，韩国法院判决日本企业向二战期间强征劳工受害者支付赔偿，遭到日本政府抗议。日本外相在G20外长会期间就此向韩外长表达了强烈的遗憾。有媒体评论称，近两年韩日关系虽然得到改善，但日方对历史问题的不当态度丝毫没有改变，反而愈发傲慢。请问中方对此有何评论？,毛宁,强征和奴役劳工是日本军国主义在对外侵略和殖民统治期间对包括中国、韩国等在内的亚洲国家人民犯下的严重人道主义罪行。这一历史事实铁证如山，不容否认和篡改。中方始终要求日本政府以诚实和负责任的态度妥善处理历史遗留问题。日方应当正视和深刻反省历史，以实际行动体现对历史罪行的忏悔和对受害者的尊重，并以正确史观教育下一代。只有这样，日本才能真正取信于亚洲邻国和国际社会。,yes,1,0,1,0,0,0,历史问题 ||| 有何评论,历史事实 ||| 历史遗留问题,B选择性承接A提出的历史问题与评论请求，并复现“历史”相关核心议题。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0016,2724809,文本对话,朱子语类,问者,人之习为不善，其溺已深者，终不可复反矣,朱子,势极重者不可反，亦在乎识之浅深与其用力之多寡耳,yes,1,0,1,1,1,0,终不可复反矣,不可反 ||| 亦在乎,B复现“不可反”，同时对A的绝对判断作条件化修正，形成修正和对比。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0017,2651506,多模态语料,local-audio-demo,,像果腐那样新鲜的果腐,,不是,yes,0,0,1,0,1,0,像果腐那样新鲜的果腐,不是,B用“不是”直接否定A中的整体判断，属于对前句命题的选择性否定。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0018,2694202,访谈语料,china_live,中央广播电视总台“看台海”新媒体记者,近日，大陆高铁运营里程超5万公里的新闻引起岛内热议。有舆论称，台湾长期饱受能源不足、基础设施老旧困扰，如果引进大陆资金、技术，打通中央山脉、改善花东交通等都不是问题，从花莲、台东回台北再也不必担心路断山崩，那才是真正的安全感。也有网友表示，期待有朝一日搭乘高铁横跨台湾海峡往来两岸。对此有何评论？,张晗,大陆的高铁建设举世瞩目，“十四五”以来，大陆建成投运高铁超1.2万公里，128个县迈入了高铁时代，目前高铁总里程5.04万公里，覆盖97%的50万以上城区人口城市，建成了世界上规模最大、现代化水平最高的高速铁路网。飞驰的高铁让距离变“小”，让梦想变“大”，让远方不再遥远。 和平统一将给台湾经济社会发展创造巨大机遇。有强大祖国做后盾，台湾包括基础设施建设等在内的方方面面都会更好。台湾同胞将同大陆同胞一道，共享我们伟大国家的尊严和荣耀，共享中国式现代化发展成果，迎来繁荣稳定的光明未来。,yes,1,0,1,0,0,0,高铁 ||| 台湾,高铁 ||| 台湾,B复现A中的“高铁/台湾”等核心议题，并围绕其意义展开回应。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0019,2724151,文本对话,清平山堂话本,奚真人,汝为怪物，焉敢缠害命官之子？,三个,他不合冲塞了我水门。告我师，可饶恕，不曾损他性命。,yes,0,0,1,1,1,0,缠害命官之子,不曾损他性命,B针对A的伤害指控作否认和解释，形成修正性回应与对比。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0020,2751447,日常对话,chatterbot-1k,,什么是化学,,混合化学品的科学。,yes,1,0,1,0,0,0,化学,化学品 ||| 科学,B围绕“化学是什么”的开放槽位作定义式回答，并复现“化学”相关词形。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0021,2705055,文本对话,水浒传,李公,他把许多金银与我家，不与他担些干系，买我们做甚么？,虔婆,老畜生！你这般说，却似放屁！我这行院人家，坑陷了千千万万的人，岂争他一个！你若不去首告，我亲自去衙前叫屈，和你也说在里面！,yes,0,0,1,0,1,0,买我们做甚么,岂争他一个,B承接A关于“为何牵连/买我们”的疑问，以“岂争他一个”反向驳斥其推断。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0022,2856607,网络回帖,tieba-305w,上帖,你知道朝北大悦城旁的那家吗，我认识那里的老师傅，做的绝对牛b，只是人家轻易不做,回帖,便宜坊是正经的好牌子，全聚德就拉倒吧,no,0,0,0,0,0,0,,,B转向评价具体品牌，和A的话题相关但没有稳定复现A的表达或结构资源。,,top30_reviewed,1,high,B转向评价具体品牌，和A的话题相关但没有稳定复现A的表达或结构资源，保持no。,no,0,0,0,0,0,0,,,top30_reviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0023,2678369,文本对话,雷雨,周朴园,你现在做什么？,周萍,我到书房，看看爸写的介绍信在那儿没有。,yes,0,1,1,0,0,0,做什么,到书房,B以具体行动填入A的“做什么”开放槽位，属于填槽型弱共鸣。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0024,2712070,文本对话,西游记,行者,在西梁国毒敌山琵琶洞。,星官,那山洞有甚妖怪，却来呼唤小神？,yes,1,0,1,0,0,0,毒敌山琵琶洞,那山洞,B用“那山洞”稳定指回A提供的地点，并围绕该地点继续追问妖怪信息。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0025,2733860,文本对话,孟子,匡章,是何伤哉？彼身织屦，妻辟纑，以易之也,孟子,仲子，齐之世家也。兄戴，盖禄万钟。以兄之禄为不义之禄而不食也，以兄之室为不义之室而不居也，辟兄离母，处于于陵。他日归，则有馈其兄生鹅者，己频顣曰：‘恶用是鶃鶃者为哉？’他日，其母杀是鹅也，与之食之。其兄自外至，曰：‘是鶂鶂之肉也。’出而哇之。以母则不食，以妻则食之；以兄之室则弗居，以于陵则居之。是尚为能充其类也乎？若仲子者，蚓而后充其操者也,yes,1,1,1,1,1,0,是何伤哉 ||| 以易之也,是尚为能充其类也乎 ||| 以兄之禄 ||| 以兄之室,B通过长段反例回应A的辩解，复用“以……之”类结构并对A判断作反驳。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0026,2734780,文本对话,朴通事,乙,官人们都来了。将些乾按酒来。就将那烧肉来。我们先吃两巡酒。后头抬卓儿，弹的们动乐器，叫唱的根前来，着他唱。,甲,如今抬卓儿上汤着。捧汤的都来。第一道熝羊蒸卷，第二道金银豆腐汤，第三道鲜笋灯笼汤，第四道三鲜汤，第五道五软三下锅，第六道鸡脆芙蓉汤，都着些细料物。第七道粉汤馒头。官人们待散也，疾快旋将酒来，把上马杯儿。如今唱达达曲儿，吹笛儿着。今日个日头，咱弟兄们和顺的上头，皇帝的大福阴里，酒也醉了，茶饭也饱了,yes,1,0,1,0,0,0,抬卓儿 ||| 酒,抬卓儿 ||| 酒,B复现宴席程序中的“抬卓儿/酒”等核心流程词，并继续展开同一宴饮安排。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0027,2735516,文本对话,世说新语,道家,由来有何异同得失？,子敬,不觉有余事，惟忆与郗家离婚。,yes,0,0,1,0,1,0,有何异同得失,不觉有余事 ||| 惟忆,B回答A要求比较异同得失的问题，以“无余事，惟忆……”限定答案范围，形成选择性回应和弱对比。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0028,2734095,文本对话,论语,或人,管仲俭乎？,孔子,管氏有三归，官事不摄。焉得俭？,yes,1,0,1,1,1,0,管仲俭乎,焉得俭,B复现“俭”，并以反问方式否定A提出的可能判断，形成修正和对比。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0029,2718511,文本对话,平凡的世界,晓霞,气质嘛……反正我也不会确切解释，但我知道是什么意思。你的气质就是不错！,晓霞,你还应该看《参考消息》！,no,0,0,0,0,0,0,,,B转入新的建议“看《参考消息》”，与A的“气质”评价之间缺少明确复现、填槽或结构映射。,,top30_reviewed,1,high,B转入新的建议“看《参考消息》”，与A的“气质”评价之间缺少明确复现、填槽或结构映射，保持no。,no,0,0,0,0,0,0,,,top30_reviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0030,2680659,文本对话,红楼梦,丙,前娘娘所制，俱已猜着，惟二小姐与三爷猜的不是。小姐们作的也都猜了，不知是否。,又听太监,三爷说的这个不通，娘娘也没猜，叫我带回问三爷是个什么。,yes,1,0,1,1,0,0,三爷猜的不是 ||| 不知是否,三爷说的这个不通 ||| 娘娘也没猜,B复现“三爷/猜”等核心信息，并对前句中“猜得是否正确”的问题作进一步澄清。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0031,2747704,日常对话,青云语料,问,没事~,答,哦，没事就好,yes,1,0,1,0,0,0,没事,没事就好,B复现A中的“没事”，并将其扩展为安慰性回应。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0032,2693230,影视对白,subtitle-useless,,快走快,,快快走快跑快跑,yes,1,1,1,0,0,0,快走 ||| 快,快快走 ||| 快跑,B密集复现“快/走”的催促形式，并加强为连续行动指令。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0033,2723890,文本对话,唐传奇,,【帝】：碧海无涯，仙人路绝，何计通耗？,,【妃】：若遇雁府上人，可附信矣。,yes,0,0,1,0,0,0,何计通耗,可附信,B以“可附信”填补A提出的“何计通耗”方法槽位，属于问答填槽型弱共鸣。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0034,2722630,文本对话,骆驼祥子,祥子,给多少是多少！,老者,你看，你看，二三十块钱真不好说出口来，可是还真不容易往外拿呢；这个年头，没法子！,yes,0,0,1,0,0,0,给多少,二三十块钱,B围绕A提出的给钱数量问题继续展开，并给出具体金额区间。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0035,2694005,访谈语料,china_interview,郭志刚,当今世界正在发生前所未有的大变局，战争形态正在加速向信息化战争演变，世界各主要国家都在加速推进军事转型，加速推进军事力量的结构重塑，谋求战略竞争和博弈占领主动地位和优势地位。 我国现在正处于什么阶段呢？就是国家正处在由大向强的关键阶段，必须深化军队改革，这样我们这支军队才能担负起为实现中华民族伟大复兴的中国梦提供力量支撑的历史使命。所以，这次军改是新中国成立后规模最大、最彻底的一次改革，建国后我们进行了十几次体制编制的调整和改革，这次是最彻底的，是一次整体性、革命性的变革，我们说是真正的脱胎换骨。,中国网,可以说意义深远。,no,0,0,0,0,0,0,,,B只是对A的长段说明作概括性评价，未形成可定位的复现、填槽或结构映射。,,top30_reviewed,1,high,B只是对A长段说明作概括性评价，未形成可定位复现、填槽或结构映射，保持no。,no,0,0,0,0,0,0,,,top30_reviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0036,2848416,日常对话,douban-multiturn-100w,乙,蓝罐曲奇,甲,蓝罐曲奇是什么阿,yes,1,0,1,0,0,0,蓝罐曲奇,蓝罐曲奇是什么阿,B复现A中的“蓝罐曲奇”，并将其转化为追问对象。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0037,2734283,文本对话,老乞大,乙,每日清早晨起来，到学里。师傅上受了文书，放学，到家里吃饭罢，却到学里写仿书，写仿书罢对句，对句罢吟诗，吟诗罢师傅前讲书。,甲,讲甚麽文书？,yes,1,0,1,0,0,0,文书 ||| 讲书,讲甚麽文书,B复现“文书/讲”的学习活动信息，并选择性追问所讲内容。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0038,2748811,日常对话,qingyun-11w,问,宝贝饿了？怎么都不知道照顾好自己呢？,答,谁说不知道了,yes,1,0,1,0,1,0,不知道,谁说不知道了,B复现“不知道”，并用反问否定A的预设，形成选择性承接和对比。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0039,2804095,日常对话,chatterbot,,你最喜欢的编程语言是什么,,Python是创建聊天机器人的最佳语言。,yes,1,1,1,0,0,0,编程语言是什么,Python ||| 语言,B以“Python”填入A的“编程语言是什么”槽位，并保留“语言”这一类别。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
F300V1-0040,2775250,网络回帖,贴吧回帖,上文,被娜娜 3比0 横扫,回帖,0娜娜，何等威风,yes,1,0,1,0,1,0,娜娜 ||| 3比0,0娜娜,B复现“娜娜/0”等比赛结果元素，并以讽刺方式重新评价前句内容。,,ai_assisted_unreviewed,0,,,,,,,,,,,,ai_assisted_unreviewed,0,,,,,,,,,,,,gold_candidate_v3_carried_from_v2,0,,,,,,,,,,,,0,,frozen_gold_v1,formal_300_v1_gold_candidate_v3,2026-06-21
